date,original_plan_cost_yuan,final_non_emergency_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_purchase_kwh,remaining_energy_kwh,terminal_soc_kwh
2025-02-28,17774.330603746264,18787.341865569775,2724.214883620133,21511.55674918991,693.3293008249836,9524.147758469013,1203.7741616113656
2025-03-01,24047.696215832777,24047.696215832777,2126.922733234895,26174.618949067673,404.97157208380327,18653.437210207558,1225.429968180065
2025-03-02,57554.79960046922,59889.262460195794,2314.631972248075,62203.89443244387,442.1297285142748,16502.45895732605,1204.1195629829028
2025-03-03,55486.35615445391,55290.249014118024,2358.3265435083085,57648.57555762634,647.9003817919008,10048.8751350933,1200.0
2025-03-04,46742.71723803806,49883.32522970873,4357.641298381062,54240.9665280898,1259.1866499299852,6282.624221165668,1200.0
2025-03-05,52611.32421344979,52611.32421344979,4873.673780042387,57484.99799349218,1167.3494689422705,14002.658695801067,1200.0
2025-03-06,45914.04275828256,48985.492914811155,3194.3376486849975,52179.83056349616,852.6842057241827,7843.212062861907,1200.0
2025-03-07,18459.633174839473,18953.768432663728,2651.746116793411,21605.514549457137,740.6197212394135,12120.27598890759,1248.4400197374382
2025-03-08,20525.325688626093,20525.325688626093,4150.777595992851,24676.10328461894,1358.1540039048955,16538.364405762284,1200.0
2025-03-09,46406.209196704556,46967.522365138706,4481.556210569361,51449.07857570807,1140.4485733314555,7648.455431022093,1200.0
2025-03-10,45512.73662635449,48422.380999073204,5637.1114094326895,54059.492408505896,1503.3326906701684,5534.153607331825,1208.6340206536236
2025-03-11,39022.99329025206,45463.94776244639,6289.121842304458,51753.069604750846,1943.0897849760938,4449.311841973542,1242.6977840572397
2025-03-12,45985.043106274796,46178.49883139543,4085.928054558038,50264.42688595347,1140.123288604926,8707.133136756502,1202.3741729230112
2025-03-13,42763.02573935455,45530.77177320231,4656.800665875677,50187.57243907799,1055.6663628553883,2316.008388871853,1200.0
2025-03-14,15605.574650696091,17245.396003530404,2983.635097227692,20229.031100758097,883.0326187989983,13882.22651297091,1217.1451299431517
2025-03-15,15595.007109566626,15595.007109566626,4217.597759313588,19812.604868880215,1182.2038872251799,7660.092509147867,1200.0
2025-03-16,43243.499043300886,44511.73568611972,2280.3185300363484,46792.05421615607,793.2920844719386,4648.936208897894,1200.0
2025-03-17,39830.89158531286,41580.76705398751,3526.535414637261,45107.302468624766,1053.8595092546361,4041.6174809744175,1209.2970357659203
2025-03-18,45164.98220300719,43914.819229351684,1933.6897194195797,45848.50894877126,608.536331361453,5370.282358865142,1200.0
2025-03-19,37505.65446011707,42006.60598117013,4165.6845335349535,46172.290514705084,1695.2961536519822,3499.5034008135917,1210.3508679624806
2025-03-20,43050.32831919362,43389.86766225025,9376.976602941071,52766.84426519133,2769.6731077364766,4488.931803326737,1204.845064536358
2025-03-21,15509.985302242334,15783.36403022644,2596.9045771837873,18380.268607410228,907.503043285446,15809.974051605566,1200.0
2025-03-22,16404.846931664862,16404.846931664862,1473.156871399668,17878.00380306453,618.814586169563,12996.516978267775,1356.9274788878515
2025-03-23,42910.41821937482,42111.91745369547,5170.8454175742,47282.76287126966,1219.289876280743,6818.036811860042,1245.36248282291
2025-03-24,41375.46829695816,42247.16060901395,2125.2534664267064,44372.414075440654,765.1923308036487,7210.854005342379,1200.0
2025-03-25,44953.57036306791,43695.157966607985,5492.961773242067,49188.11973985005,1438.1312316615993,5963.589534105807,1213.6690870752211
2025-03-26,39061.44010994963,40448.82727456447,3228.7162307961526,43677.54350536063,932.8793160665019,6241.996351506728,1200.0
2025-03-27,41016.914466854745,40770.91312828809,4815.201624394138,45586.11475268223,1521.7821247139009,5234.444203573045,1200.0
2025-03-28,15528.25481795866,15528.25481795866,838.078204585397,16366.333022544057,335.7586150864865,17183.47428213354,1200.0
2025-03-29,14224.149526888814,14964.703936706343,3303.9827972018943,18268.68673390824,916.8693871920441,19401.47655278952,1200.0
2025-03-30,39431.77317139635,39431.77317139635,7291.453036828115,46723.22620822446,2146.5784123289486,7687.422620974433,1200.0
2025-03-31,36529.97673127657,39986.57484392216,4235.3432685864145,44221.918112508574,1207.3238927850825,4653.875231599604,1220.805026171471
2025-04-01,41748.52496353328,42402.33462323945,4049.181237094176,46451.515860333624,1211.0918111916053,5838.464135103396,1302.4063430783815
2025-04-02,40652.114971095114,44658.33759445229,4019.562201053441,48677.899795505735,1084.5345650055115,8295.797059025666,1232.86647546451
2025-04-03,41892.90705999706,41279.92101355562,2778.1735737889953,44058.09458734462,770.426324822384,7521.954958041174,1234.828605007755
2025-04-04,14258.126260128103,14258.126260128103,2198.5124916888453,16456.638751816947,734.4178902135252,19917.495099943164,1234.2159624410483
2025-04-05,13913.99414002898,14667.892778736694,8645.657809039281,23313.550587775975,2531.832051499904,16241.95407699695,1203.685444937772
2025-04-06,38736.09705762391,41157.625229237805,2335.9676705950997,43493.592899832904,679.13701386731,7366.188699983969,1243.5850674999654
2025-04-07,34676.35032679342,38835.699243615854,3156.3889368737823,41992.08818048964,989.1911936853076,6441.582969824671,1200.0
2025-04-08,41885.515843755005,40913.732899316296,2488.490963374202,43402.2238626905,554.5923183657463,7927.410339482335,1200.0
2025-04-09,39685.651859497215,43294.8467967465,2068.610216446609,45363.45701319311,527.1341108366903,7018.416763191063,1200.0
2025-04-10,37777.55531737282,39384.825567749554,5836.782044955744,45221.607612705295,1500.0585423772252,6685.678520570143,1200.0
2025-04-11,13329.841129091476,13856.683789376406,4650.412921954338,18507.096711330745,1336.6782045120347,20731.343020029995,1200.0
2025-04-12,14574.357281253868,14574.357281253868,1190.7074148357801,15765.064696089648,447.90682005090287,17416.500435705617,1200.0
2025-04-13,37131.75458221922,39288.10973603583,5394.616351602258,44682.7260876381,1358.5836710245221,7536.965933672401,1202.5740491417716
2025-04-14,39183.966380521,37707.40821784695,7721.290912938578,45428.69913078553,1952.0456218492766,6215.7353691744165,1224.24566284074
2025-04-15,33539.67795034383,35936.463534492745,4138.438329298485,40074.90186379123,979.7110844901092,5784.638574111107,1226.7588544579437
2025-04-16,36669.90530509585,38657.33097473387,2932.956718176375,41590.28769291024,915.9759428281141,4972.334627984703,1200.0
2025-04-17,34206.75823753544,36658.88878148319,5840.619075785273,42499.507857268465,1494.333031104669,3472.6362646650227,1207.9881229817595
2025-04-18,13449.420677720422,13449.420677720422,4026.5060820104713,17475.926759730894,1275.908245951375,19456.223219382497,1252.523687500151
2025-04-19,12492.053155111027,13364.827999966603,1899.1811801945116,15264.009180161114,718.1549437712026,17943.6380692127,1200.0
2025-04-20,33314.71590296668,37116.503444052105,1942.5524319177025,39059.05587596981,673.6299451659402,4675.776432824123,1200.0
2025-04-21,36628.40053532885,35849.81345871252,3034.2370126226283,38884.05047133514,896.872639963697,7318.186392784444,1205.6863637631325
2025-04-22,32280.62061815639,34972.80745935623,5620.484176119493,40593.29163547572,1903.2355847000229,2997.451587693518,1200.0
2025-04-23,32315.981888982857,36924.543505042915,2173.9266767760378,39098.47018181896,701.6640995635847,4889.553592714558,1269.3502869371546
2025-04-24,31227.01848958527,34874.70730589081,3081.242466298943,37955.94977218976,897.0209617570403,6276.998090878629,1200.0
2025-04-25,12655.212556405539,13300.390481734948,2732.7129426874176,16033.103424422365,803.6650287333039,22571.398593364735,1215.4670414689847
2025-04-26,12639.177108630969,12920.753810634733,2632.352304439303,15553.106115074035,909.5283394560265,24098.166755196788,1200.0
2025-04-27,29814.6662724185,35972.88675421639,7997.463939610284,43970.35069382667,1919.5213604080525,5725.909016409501,1200.0
2025-04-28,38370.36368500742,42206.286015703394,1683.6281284823374,43889.914144185735,418.35163588906687,8473.095924371462,1200.0
2025-04-29,32516.740977040954,36568.615198216896,2457.842331721387,39026.45752993828,509.8237888194428,7289.046791025861,1290.8179482906494
2025-04-30,30901.01468980665,33829.81131955829,4760.134549202851,38589.94586876115,1415.5112721789972,4296.108536200458,1200.0
2025-05-01,32401.587333847037,35617.87795081896,17223.868587014687,52841.74653783365,3810.3946112815274,5564.409852519364,1200.0
2025-05-02,14106.125844314267,14106.125844314267,12511.161601686978,26617.287446001246,2844.1220596234875,13743.24560720418,1200.0
2025-05-03,13268.603769615085,13268.603769615085,13936.44815211236,27205.051921727445,2855.1624129863117,18635.962412902245,1200.0
2025-05-04,35334.61083308458,34634.80498205524,21167.900780906897,55802.705762962134,5171.7582897849825,6851.223428080421,1200.0
2025-05-05,37870.953716782686,37870.953716782686,16206.032020092223,54076.98573687491,3494.6788353496067,6009.140314415793,1200.0
2025-05-06,32041.44188169292,36145.006160249904,17383.16074134414,53528.16690159405,4117.485027776615,3797.916558018299,1200.0
2025-05-07,33377.52659989326,37074.01475294337,15751.71556831909,52825.73032126246,3370.7144188406946,3584.5693966825224,1216.0493955613954
2025-05-08,40920.71873785455,43069.40612647738,4789.981380126615,47859.38750660399,1104.198371409985,10313.69615128989,1200.0
2025-05-09,16575.953357241757,17063.079905370392,2380.164865269936,19443.24477064033,721.366916870506,20934.50158887901,1226.747760906141
2025-05-10,14672.013101878643,16332.810599728373,3355.6014591558996,19688.41205888427,928.1135053639217,15708.372806809377,1209.1501585668016
2025-05-11,36420.558254500655,40116.575798078185,5568.311253368998,45684.887051447186,1581.794168468116,5452.515618630125,1200.0
2025-05-12,34288.96106178204,40915.72931174226,1385.7099913919124,42301.439303134175,412.39601412993125,7793.42219961369,1227.1094368598065
2025-05-13,40317.623057719866,41128.66765200835,803.6899924870582,41932.35764449541,205.33316375646658,7104.342093430346,1275.5231152340043
2025-05-14,40342.03250056685,41207.1714856836,1712.318289861812,42919.489775545415,519.6414617539245,8723.04625129506,1276.911176226864
2025-05-15,37529.89957878344,39705.84211373862,1876.6165869766796,41582.458700715295,581.1151712796926,5225.93980187523,1273.203815829764
2025-05-16,16967.896101756553,16246.348163558156,2692.58492938448,18938.933092942636,841.7882979140903,23844.23998854593,1200.0
2025-05-17,17175.46507820425,17175.46507820425,4576.864907615812,21752.329985820063,1163.8473860647853,19310.459505240164,1200.0
2025-05-18,39501.533118685205,41340.85191474079,1030.3338988143516,42371.185813555145,406.28868133786034,9295.359267148226,1308.9698335019068
2025-05-19,36985.449576389714,38695.691194528525,2192.1818349742466,40887.87302950277,461.6624054907,10604.34054192228,1200.0
2025-05-20,35146.350747869845,41575.40155652751,3447.3832419950795,45022.78479852259,822.5834278926657,7172.718236005739,1200.0
2025-05-21,35014.36980915692,39142.046313442996,1048.0709410787356,40190.117254521734,365.4446756600342,5097.512288889988,1201.570452224125
2025-05-22,36111.85146018431,36819.47337310186,4713.058999562272,41532.53237266413,929.4924554555174,5339.055952122895,1243.256693920582
2025-05-23,13990.690835357984,15992.624731684591,1948.0678846267965,17940.692616311386,586.1719132973909,20646.341030507534,1247.6968028207996
2025-05-24,14749.55644661676,14823.710293767052,492.4717882727137,15316.182082039764,226.15872898951906,21756.682983504004,1212.0903787765849
2025-05-25,36817.1332214863,36064.48279693315,3756.0464121765776,39820.52920910973,770.4511772636808,6971.140289055875,1260.7596438668356
2025-05-26,37113.65101194545,44468.17554622766,1591.9329795310202,46060.10852575869,506.20758746897195,10649.585849208526,1203.4745065186517
2025-05-27,33251.60721650785,36973.75139469271,1359.462577873614,38333.21397256632,451.459552377297,5085.142144123726,1253.2953738610051
2025-05-28,36547.4154448182,38889.15785630842,192.5907335577742,39081.74858986619,91.34625920668131,6882.429532917018,1292.43160164554
2025-05-29,36051.32656137813,38800.599983922155,6562.976248623938,45363.5762325461,1514.128673142058,6207.829033829275,1200.0
2025-05-30,14638.704510072917,15612.418041006677,1340.3378901950998,16952.755931201777,395.6750172111417,19720.76817903049,1339.6783984408562
2025-05-31,17705.94250032999,17705.94250032999,1886.6352390876846,19592.577739417677,627.3983947436343,21851.293814739616,1200.0
2025-06-01,46546.39910056213,48002.95204496727,33145.00341528269,81147.95546024997,8327.17720986061,7707.3919312418075,1200.0
2025-06-02,48653.50191359471,46267.93708032293,28038.12264818118,74306.05972850411,7148.553176824343,4905.314178816808,1200.0
2025-06-03,44693.571748914954,47817.985669243186,26084.20361226256,73902.18928150575,6158.699853800903,8460.559473041076,1200.0
2025-06-04,51522.83000616077,48646.04136231877,23546.58650602897,72192.62786834774,6144.064652289628,6130.735523101217,1200.0
2025-06-05,42530.28351496519,46743.13816403438,27647.25849707679,74390.39666111117,7278.700170173716,4590.180387056322,1200.0
2025-06-06,19532.804356479646,21390.42926866108,26095.22484843644,47485.65411709752,6520.4886748931085,9549.874401514851,1200.0
2025-06-07,19499.034078725865,21286.601884471376,21640.587852912704,42927.18973738408,5198.0201843980885,10277.733850242965,1200.0
2025-06-08,49167.60994062965,55836.924510066434,1027.449419784031,56864.373929850466,268.478037911633,13887.755780986688,1449.6565238008009
2025-06-09,56632.94737779519,57494.430260912966,834.1631240454232,58328.59338495839,308.97661858357844,12859.573576879811,1271.2455694403925
2025-06-10,53967.127148913074,57268.46199496668,1317.0757738857965,58585.53776885248,371.8383899680002,11447.80011681929,1501.6404093888111
2025-06-11,57053.206940300086,63725.11605395888,840.2556613036558,64565.37171526254,197.66672972759116,13406.924549832665,1491.404620000564
2025-06-12,53380.35707732774,53380.35707732774,2460.695552753313,55841.05263008105,672.4486372385795,6813.036002439302,1552.4142149934676
2025-06-13,24280.95267122512,27239.04095016117,151.2727341134987,27390.313684274668,60.84994270905729,12785.877015227521,1524.410141597676
2025-06-14,23663.17757658317,24500.06186558036,1604.8840743590413,26104.9459399394,447.00159316703935,12293.173821177175,1504.1334994007786
2025-06-15,47483.88185065299,59217.48694805573,881.6151007427926,60099.10204879853,231.3509529355728,11550.953090778074,1579.3785967005342
2025-06-16,52910.41566822062,55231.01700746241,2567.4883863319324,57798.505393794345,753.5052450895065,8378.853654553976,1703.4295388024148
2025-06-17,51147.70618254978,60352.7038417171,1824.072383776186,62176.77622549328,425.02632361214376,11290.988761638104,1343.3480241160412
2025-06-18,53842.98321196653,57654.077735813145,268.75246749828545,57922.83020331143,87.44747777661269,12756.474220604125,1484.5586807881805
2025-06-19,48942.63230790414,54993.102625944295,1805.5544498032539,56798.65707574755,541.5757586166549,10816.884955422613,1200.0
2025-06-20,22391.74998190437,23385.624798097644,265.7348690752967,23651.35966717294,117.15120444625464,13496.003059457615,1729.6320623720355
2025-06-21,22490.107104674502,22490.107104674502,582.8114624225026,23072.918567097004,268.5110805384699,16141.500198089032,1591.340185003549
2025-06-22,42728.235724965554,50983.08443560995,2525.1064277587693,53508.19086336872,922.8864931731988,5436.951967773251,1216.370046566128
2025-06-23,50329.92008496068,53731.991178972894,1765.064403421158,55497.05558239405,516.7418626722674,11181.261923595739,1245.0013743387103
2025-06-24,55583.96286445134,58311.408801940095,899.0765055817404,59210.485307521834,313.89018633720923,7689.425363310424,1580.6204953169663
2025-06-25,51409.35757960299,52575.77229023709,1455.590230488704,54031.36252072579,438.9780270333248,8771.433014267155,1440.0664149402237
2025-06-26,48386.02265980908,55348.30854947909,409.2196339664262,55757.52818344551,120.86018217040618,12011.874902394144,1200.0
2025-06-27,22295.881944080418,22295.881944080418,1069.1376824018337,23365.01962648225,318.10767360909495,16143.287338229851,1318.139457532897
2025-06-28,22073.222969357495,22649.14663271842,320.7326608699975,22969.87929358842,145.5817332693433,13455.63345758288,1385.6974863960445
2025-06-29,43561.468689630114,49818.88470753306,4640.720591729274,54459.60529926234,1518.0493126452673,3740.5030524776657,1260.342404615038
2025-06-30,50194.39228972507,55492.47478842265,1000.3417651167895,56492.816553539444,324.6406307520966,9419.736992518683,1331.497698018382
2025-07-01,44753.22852127457,50329.03789150009,39697.0324778921,90026.07036939218,10811.095080400433,4193.4936480974175,1200.0
2025-07-02,41521.824040726366,46311.36869947695,40131.106480408074,86442.47517988502,10874.472612619853,4287.892318390015,1200.0
2025-07-03,53138.73489600359,52955.7813602682,39731.56420931875,92687.34556958695,10485.050419764448,8850.73020349836,1200.0
2025-07-04,21616.776843379663,21616.776843379663,34392.01010995458,56008.78695333424,9120.729381305246,15056.922306968312,1200.0
2025-07-05,19345.431305126247,23131.21126652375,37856.33751686242,60987.54878338617,9754.124516319705,16020.658213459428,1200.0
2025-07-06,44182.25639262297,56264.28561452825,36622.183925627025,92886.46954015527,9508.76554327277,6119.0138198919985,1200.0
2025-07-07,43980.42940081144,46532.98308444667,28725.624366060732,75258.6074505074,7928.593270091678,2533.9024319107475,1200.0
2025-07-08,59983.2832907558,62394.60856839562,110.3037079586763,62504.9122763543,57.62966330485699,14225.625155905971,1531.3226198029988
2025-07-09,55840.2444855055,66425.45675601767,463.9928592661554,66889.44961528381,110.65514127726749,18532.644787323705,1774.4689824733575
2025-07-10,53776.62243586753,55932.033425012174,2123.940915918417,58055.97434093059,817.1532539426878,8749.523887845227,1274.8013257428686
2025-07-11,31713.684886206607,31713.684886206607,362.24919375248083,32075.934079959086,166.05226328688155,15271.48722219419,1902.950035399748
2025-07-12,29809.023764281177,29809.023764281177,1710.5496703678443,31519.57343464902,785.4209042448874,15714.958187490025,1530.5191903817934
2025-07-13,57528.772272420436,57528.772272420436,2729.2928199336366,60258.065092354074,709.2298925700393,15688.136407020762,1362.5408001375304
2025-07-14,56100.78464186802,60074.35636880027,202.94201582614733,60277.29838462642,50.71259860908347,15359.239777240915,1522.3726762166543
2025-07-15,58194.42020456877,58194.42020456877,1532.0967568327692,59726.51696140154,384.3917250783406,14266.957852785146,1856.3343271341184
2025-07-16,53923.67182610374,55506.811069193376,871.8068531198737,56378.61792231325,386.9329851943314,9326.849496682898,1375.4949804728735
2025-07-17,49967.04782169768,50940.1723126252,3212.364739367112,54152.537051992316,1160.5912844301474,3227.4032836646,1233.0711178744432
2025-07-18,33893.45457082235,33893.45457082235,1554.0065590945585,35447.46112991691,436.94860309195815,20271.52947332128,1718.2966263604355
2025-07-19,27822.220918459545,34610.50108938142,651.6610755452192,35262.16216492663,294.59486218794035,21620.62361783217,1486.5247323697515
2025-07-20,60919.81902839439,62207.93276864194,1458.2995983609617,63666.2323670029,350.4606203376951,20247.53114734921,1499.4106793174717
2025-07-21,65646.13113112266,66029.98212292661,119.0942168979638,66149.07633982458,41.91147331190936,22307.498029193073,1874.8838079803584
2025-07-22,50311.612402836145,54430.371318434336,1410.7560793424416,55841.12739777678,535.5376727660946,5849.454728131133,1514.4612868772026
2025-07-23,60588.86237379786,59857.93088667608,5028.124544882488,64886.05543155856,1521.4162524096614,10869.36488806266,1411.873907031695
2025-07-24,64767.58653332978,63919.634965574616,631.9198372793895,64551.55480285401,216.05943291577378,19714.14861382836,1436.3285380534296
2025-07-25,28866.795008712885,28866.795008712885,447.46974370853843,29314.264752421423,205.84324925467644,18140.923935306695,1436.7655145916274
2025-07-26,28651.03065275201,29223.989172469916,529.6129735908451,29753.602146060763,227.58334707947935,16639.691472050057,1408.2889774807827
2025-07-27,54597.20775002768,57368.72760127742,5072.219914891199,62440.94751616861,1446.8266112167848,11989.087956105752,1200.0
2025-07-28,64662.47309195535,68981.17664589787,900.223863996533,69881.4005098944,202.63924790692954,21396.008098035603,1745.2849912770107
2025-07-29,51396.83824822657,69508.71746709624,401.33119800618016,69910.04866510241,104.78375588389589,18253.767452198586,1501.2910955431255
2025-07-30,52453.4276142987,61093.26762425011,2938.995755600172,64032.26337985028,1133.4313637507996,13685.837330379203,1614.2521971239075
2025-07-31,48718.6173757806,64238.14594853127,5019.44890163955,69257.59485017082,1202.8302850294313,14264.532259181116,1200.0
2025-08-01,25291.245448954385,24565.897583775564,2272.6684037377854,26838.56598751335,636.9010722313916,17411.537044703487,1334.9377361737336
2025-08-02,33460.18547327862,32748.66991799248,1734.7134576344788,34483.38337562696,495.57330746397173,29089.4881395772,1480.251999336759
2025-08-03,40210.70225209501,50097.13417480549,9457.462492372217,59554.596667177706,1967.9402898243457,7112.179914246538,1200.0
2025-08-04,56539.948440272834,56539.948440272834,5203.3359976253805,61743.28443789821,1299.556369076304,20144.784456541613,1468.4561074805758
2025-08-05,53305.32250138244,53305.32250138244,434.64751530795326,53739.97001669039,138.1124372950674,14676.46639366141,1632.1417714705
2025-08-06,60445.416461736524,60029.07521992349,424.4518763951003,60453.52709631859,95.82498962222913,18048.695079079553,1454.8170081996504
2025-08-07,51073.67525481448,50249.004027587005,2985.0989489537765,53234.10297654078,918.8099099184124,10202.188471564388,1267.0185086707268
2025-08-08,28775.326774730955,28786.893268430027,130.79555523957066,28917.6888236696,20.825659619388688,29603.454581759168,1585.0194467537972
2025-08-09,23228.2908754936,23228.2908754936,2259.476900117866,25487.767775611464,768.971552788588,18706.101266886984,1237.1525333711193
2025-08-10,47046.24390711069,48339.50756057046,2277.7138181502582,50617.22137872072,679.6794800108065,5618.409740607477,1200.0
2025-08-11,46161.92192949307,49605.98874786204,32.63497613520488,49638.62372399725,15.015526221432424,7934.169967885642,1272.642199040734
2025-08-12,53720.69636675872,52228.063989282535,2575.0673564793838,54803.13134576192,695.1041830689919,10890.235938426755,1415.6159402498956
2025-08-13,52245.94772282784,50391.010293522646,1044.8906573634342,51435.900950886076,405.6512318487954,8752.75941723665,1338.4325252018969
2025-08-14,54440.77972259012,55611.425815905466,2667.216807930529,58278.64262383599,518.6572845112918,16488.215901098927,1200.0
2025-08-15,24996.103417529634,24564.923709920342,1802.4196214460742,26367.343331366417,682.2158093213839,21609.915523025644,1200.0
2025-08-16,26642.256021860336,25931.129134496034,1176.7074341923392,27107.836568688374,526.7437218271901,21439.80134089937,1322.0623477524762
2025-08-17,47136.08953104028,46140.37531329672,3110.200864204591,49250.57617750131,789.7711928539875,5243.168673610019,1200.0
2025-08-18,49150.93463476831,49503.9453518891,681.5618163884218,50185.50716827752,294.3080968989783,8198.615169780442,1515.3350240458751
2025-08-19,54684.5037610033,60856.24390491677,136.63485577379402,60992.87876069057,52.59589541089309,23279.989418725472,1405.4236840878475
2025-08-20,58981.784468055375,59784.27607179617,3757.2351863174827,63541.51125811365,846.734227587519,18398.848857848854,1277.183338475497
2025-08-21,46945.99697046703,47993.90212541465,3486.689689838072,51480.59181525272,1146.3117641835345,6214.714965978069,1203.499617347737
2025-08-22,23701.13637088696,23701.13637088696,2423.408993679139,26124.5453645661,648.167883459937,16898.56873254966,1304.2371474603592
2025-08-23,28598.714084884872,28598.714084884872,213.63438497437394,28812.348469859247,89.95361089228659,23226.24874199599,1340.3415227472508
2025-08-24,43764.87266573095,46967.09309256122,4311.560126356141,51278.65321891736,1305.9577831274576,4349.949522000646,1219.3856066427898
2025-08-25,63689.49144305719,58499.6422874055,97.80287400163391,58597.44516140714,14.500107778206257,8092.63497221118,1569.3112158311435
2025-08-26,47677.27947913711,52388.13224664836,0.0,52388.13224664836,0.0,9089.384969336032,1679.6464670511875
2025-08-27,55084.63731535969,55084.63731535969,46.03706528935176,55130.67438064904,20.965874728755892,14669.101224273963,1378.668182599
2025-08-28,43578.010508640735,51906.08508305128,5314.682466726509,57220.76754977778,1735.991475271113,3761.254277742711,1264.5655319152586
2025-08-29,28436.028555225606,27686.841982782127,0.0,27686.841982782127,0.0,18904.71049843513,1447.037321919748
2025-08-30,26126.593318580934,26126.593318580934,1175.4772832655308,27302.070601846466,342.19381575217716,22589.043108838196,1214.8858603790843
2025-08-31,45569.5153543835,47408.710066163425,3618.3284640233624,51027.03853018679,921.247700430126,1709.999741964432,1334.54907972564
2025-09-01,51098.23122312384,52526.278395718604,0.0,52526.278395718604,0.0,21867.655320101112,3330.1229869127924
2025-09-02,45150.01444361781,46995.64656328515,286.97904365816805,47282.625606943315,112.31971929481922,14510.5928631843,3035.484524098582
2025-09-03,50511.69994836388,49429.65397518356,221.02612211344947,49650.68009729701,77.7987054253606,16555.052686547595,3351.1085554012616
2025-09-04,49529.98931915232,47572.60162969135,1969.1339459413869,49541.73557563274,454.9776434833371,14910.696081635004,2570.9655071650627
2025-09-05,23687.046870435363,22586.068784999214,20.82946556306913,22606.89825056228,7.33173726260793,26650.50365476757,2892.58165363247
2025-09-06,22023.570253028,22023.570253028,911.9785852154597,22935.54883824346,253.86050554197902,26738.226733563522,3029.0067508141865
2025-09-07,40685.86478177757,43052.389703041954,1033.1922053152139,44085.58190835717,453.4744027273467,6616.1708418681565,2872.398889699141
2025-09-08,35910.509261120525,38230.69325363205,13781.30087318278,52011.99412681483,3692.736498384248,2916.8543284851867,1200.0
