source_row,source_time_label,interval_date,interval_start,interval_end,slot,target_cell,result1_row,result1_time_label
25,4:00,2025-01-01,2025-01-01 03:50:00,2025-01-01 04:00:00,24,B24,24,3:50-4:00
26,4:10,2025-01-01,2025-01-01 04:00:00,2025-01-01 04:10:00,25,B25,25,4:00-4:10
27,4:20,2025-01-01,2025-01-01 04:10:00,2025-01-01 04:20:00,26,B26,26,4:10-4:20
28,4:30,2025-01-01,2025-01-01 04:20:00,2025-01-01 04:30:00,27,B27,27,4:20-4:30
29,4:40,2025-01-01,2025-01-01 04:30:00,2025-01-01 04:40:00,28,B28,28,4:30-4:40
30,4:50,2025-01-01,2025-01-01 04:40:00,2025-01-01 04:50:00,29,B29,29,4:40-4:50
31,5:00,2025-01-01,2025-01-01 04:50:00,2025-01-01 05:00:00,30,B30,30,4:50-5:00
32,5:10,2025-01-01,2025-01-01 05:00:00,2025-01-01 05:10:00,31,B31,31,5:00-5:10
33,5:20,2025-01-01,2025-01-01 05:10:00,2025-01-01 05:20:00,32,B32,32,5:10-5:20
34,5:30,2025-01-01,2025-01-01 05:20:00,2025-01-01 05:30:00,33,B33,33,5:20-5:30
35,5:40,2025-01-01,2025-01-01 05:30:00,2025-01-01 05:40:00,34,B34,34,5:30-5:40
36,5:50,2025-01-01,2025-01-01 05:40:00,2025-01-01 05:50:00,35,B35,35,5:40-5:50
37,6:00,2025-01-01,2025-01-01 05:50:00,2025-01-01 06:00:00,36,B36,36,5:50-6:00
38,6:10,2025-01-01,2025-01-01 06:00:00,2025-01-01 06:10:00,37,B37,37,6:00-6:10
39,6:20,2025-01-01,2025-01-01 06:10:00,2025-01-01 06:20:00,38,B38,38,6:10-6:20
40,6:30,2025-01-01,2025-01-01 06:20:00,2025-01-01 06:30:00,39,B39,39,6:20-6:30
41,6:40,2025-01-01,2025-01-01 06:30:00,2025-01-01 06:40:00,40,B40,40,6:30-6:40
42,6:50,2025-01-01,2025-01-01 06:40:00,2025-01-01 06:50:00,41,B41,41,6:40-6:50
43,7:00,2025-01-01,2025-01-01 06:50:00,2025-01-01 07:00:00,42,B42,42,6:50-7:00
44,7:10,2025-01-01,2025-01-01 07:00:00,2025-01-01 07:10:00,43,B43,43,7:00-7:10
45,7:20,2025-01-01,2025-01-01 07:10:00,2025-01-01 07:20:00,44,B44,44,7:10-7:20
46,7:30,2025-01-01,2025-01-01 07:20:00,2025-01-01 07:30:00,45,B45,45,7:20-7:30
47,7:40,2025-01-01,2025-01-01 07:30:00,2025-01-01 07:40:00,46,B46,46,7:30-7:40
48,7:50,2025-01-01,2025-01-01 07:40:00,2025-01-01 07:50:00,47,B47,47,7:40-7:50
49,8:00,2025-01-01,2025-01-01 07:50:00,2025-01-01 08:00:00,48,B48,48,7:50-8:00
50,8:10,2025-01-01,2025-01-01 08:00:00,2025-01-01 08:10:00,49,B49,49,8:00-8:10
51,8:20,2025-01-01,2025-01-01 08:10:00,2025-01-01 08:20:00,50,B50,50,8:10-8:20
52,8:30,2025-01-01,2025-01-01 08:20:00,2025-01-01 08:30:00,51,B51,51,8:20-8:30
53,8:40,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:40:00,52,B52,52,8:30-8:40
54,8:50,2025-01-01,2025-01-01 08:40:00,2025-01-01 08:50:00,53,B53,53,8:40-8:50
55,9:00,2025-01-01,2025-01-01 08:50:00,2025-01-01 09:00:00,54,B54,54,8:50-9:00
56,9:10,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:10:00,55,B55,55,9:00-9:10
57,9:20,2025-01-01,2025-01-01 09:10:00,2025-01-01 09:20:00,56,B56,56,9:10-9:20
58,9:30,2025-01-01,2025-01-01 09:20:00,2025-01-01 09:30:00,57,B57,57,9:20-9:30
59,9:40,2025-01-01,2025-01-01 09:30:00,2025-01-01 09:40:00,58,B58,58,9:30-9:40
60,9:50,2025-01-01,2025-01-01 09:40:00,2025-01-01 09:50:00,59,B59,59,9:40-9:50
61,10:00,2025-01-01,2025-01-01 09:50:00,2025-01-01 10:00:00,60,B60,60,9:50-10:00
62,10:10,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:10:00,61,B61,61,10:00-10:10
63,10:20,2025-01-01,2025-01-01 10:10:00,2025-01-01 10:20:00,62,B62,62,10:10-10:20
64,10:30,2025-01-01,2025-01-01 10:20:00,2025-01-01 10:30:00,63,B63,63,10:20-10:30
65,10:40,2025-01-01,2025-01-01 10:30:00,2025-01-01 10:40:00,64,B64,64,10:30-10:40
66,10:50,2025-01-01,2025-01-01 10:40:00,2025-01-01 10:50:00,65,B65,65,10:40-10:50
67,11:00,2025-01-01,2025-01-01 10:50:00,2025-01-01 11:00:00,66,B66,66,10:50-11:00
68,11:10,2025-01-01,2025-01-01 11:00:00,2025-01-01 11:10:00,67,B67,67,11:00-11:10
69,11:20,2025-01-01,2025-01-01 11:10:00,2025-01-01 11:20:00,68,B68,68,11:10-11:20
70,11:30,2025-01-01,2025-01-01 11:20:00,2025-01-01 11:30:00,69,B69,69,11:20-11:30
71,11:40,2025-01-01,2025-01-01 11:30:00,2025-01-01 11:40:00,70,B70,70,11:30-11:40
72,11:50,2025-01-01,2025-01-01 11:40:00,2025-01-01 11:50:00,71,B71,71,11:40-11:50
73,12:00,2025-01-01,2025-01-01 11:50:00,2025-01-01 12:00:00,72,B72,72,11:50-12:00
74,12:10,2025-01-01,2025-01-01 12:00:00,2025-01-01 12:10:00,73,B73,73,12:00-12:10
75,12:20,2025-01-01,2025-01-01 12:10:00,2025-01-01 12:20:00,74,B74,74,12:10-12:20
76,12:30,2025-01-01,2025-01-01 12:20:00,2025-01-01 12:30:00,75,B75,75,12:20-12:30
77,12:40,2025-01-01,2025-01-01 12:30:00,2025-01-01 12:40:00,76,B76,76,12:30-12:40
78,12:50,2025-01-01,2025-01-01 12:40:00,2025-01-01 12:50:00,77,B77,77,12:40-12:50
79,13:00,2025-01-01,2025-01-01 12:50:00,2025-01-01 13:00:00,78,B78,78,12:50-13:00
80,13:10,2025-01-01,2025-01-01 13:00:00,2025-01-01 13:10:00,79,B79,79,13:00-13:10
81,13:20,2025-01-01,2025-01-01 13:10:00,2025-01-01 13:20:00,80,B80,80,13:10-13:20
82,13:30,2025-01-01,2025-01-01 13:20:00,2025-01-01 13:30:00,81,B81,81,13:20-13:30
83,13:40,2025-01-01,2025-01-01 13:30:00,2025-01-01 13:40:00,82,B82,82,13:30-13:40
84,13:50,2025-01-01,2025-01-01 13:40:00,2025-01-01 13:50:00,83,B83,83,13:40-13:50
85,14:00,2025-01-01,2025-01-01 13:50:00,2025-01-01 14:00:00,84,B84,84,13:50-14:00
86,14:10,2025-01-01,2025-01-01 14:00:00,2025-01-01 14:10:00,85,B85,85,14:00-14:10
87,14:20,2025-01-01,2025-01-01 14:10:00,2025-01-01 14:20:00,86,B86,86,14:10-14:20
88,14:30,2025-01-01,2025-01-01 14:20:00,2025-01-01 14:30:00,87,B87,87,14:20-14:30
89,14:40,2025-01-01,2025-01-01 14:30:00,2025-01-01 14:40:00,88,B88,88,14:30-14:40
90,14:50,2025-01-01,2025-01-01 14:40:00,2025-01-01 14:50:00,89,B89,89,14:40-14:50
91,15:00,2025-01-01,2025-01-01 14:50:00,2025-01-01 15:00:00,90,B90,90,14:50-15:00
92,15:10,2025-01-01,2025-01-01 15:00:00,2025-01-01 15:10:00,91,B91,91,15:00-15:10
93,15:20,2025-01-01,2025-01-01 15:10:00,2025-01-01 15:20:00,92,B92,92,15:10-15:20
94,15:30,2025-01-01,2025-01-01 15:20:00,2025-01-01 15:30:00,93,B93,93,15:20-15:30
95,15:40,2025-01-01,2025-01-01 15:30:00,2025-01-01 15:40:00,94,B94,94,15:30-15:40
96,15:50,2025-01-01,2025-01-01 15:40:00,2025-01-01 15:50:00,95,B95,95,15:40-15:50
97,16:00,2025-01-01,2025-01-01 15:50:00,2025-01-01 16:00:00,96,B96,96,15:50-16:00
98,16:10,2025-01-01,2025-01-01 16:00:00,2025-01-01 16:10:00,97,B97,97,16:00-16:10
99,16:20,2025-01-01,2025-01-01 16:10:00,2025-01-01 16:20:00,98,B98,98,16:10-16:20
100,16:30,2025-01-01,2025-01-01 16:20:00,2025-01-01 16:30:00,99,B99,99,16:20-16:30
101,16:40,2025-01-01,2025-01-01 16:30:00,2025-01-01 16:40:00,100,B100,100,16:30-16:40
102,16:50,2025-01-01,2025-01-01 16:40:00,2025-01-01 16:50:00,101,B101,101,16:40-16:50
103,17:00,2025-01-01,2025-01-01 16:50:00,2025-01-01 17:00:00,102,B102,102,16:50-17:00
104,17:10,2025-01-01,2025-01-01 17:00:00,2025-01-01 17:10:00,103,B103,103,17:00-17:10
105,17:20,2025-01-01,2025-01-01 17:10:00,2025-01-01 17:20:00,104,B104,104,17:10-17:20
106,17:30,2025-01-01,2025-01-01 17:20:00,2025-01-01 17:30:00,105,B105,105,17:20-17:30
107,17:40,2025-01-01,2025-01-01 17:30:00,2025-01-01 17:40:00,106,B106,106,17:30-17:40
108,17:50,2025-01-01,2025-01-01 17:40:00,2025-01-01 17:50:00,107,B107,107,17:40-17:50
109,18:00,2025-01-01,2025-01-01 17:50:00,2025-01-01 18:00:00,108,B108,108,17:50-18:00
110,18:10,2025-01-01,2025-01-01 18:00:00,2025-01-01 18:10:00,109,B109,109,18:00-18:10
111,18:20,2025-01-01,2025-01-01 18:10:00,2025-01-01 18:20:00,110,B110,110,18:10-18:20
112,18:30,2025-01-01,2025-01-01 18:20:00,2025-01-01 18:30:00,111,B111,111,18:20-18:30
113,18:40,2025-01-01,2025-01-01 18:30:00,2025-01-01 18:40:00,112,B112,112,18:30-18:40
114,18:50,2025-01-01,2025-01-01 18:40:00,2025-01-01 18:50:00,113,B113,113,18:40-18:50
115,19:00,2025-01-01,2025-01-01 18:50:00,2025-01-01 19:00:00,114,B114,114,18:50-19:00
116,19:10,2025-01-01,2025-01-01 19:00:00,2025-01-01 19:10:00,115,B115,115,19:00-19:10
117,19:20,2025-01-01,2025-01-01 19:10:00,2025-01-01 19:20:00,116,B116,116,19:10-19:20
118,19:30,2025-01-01,2025-01-01 19:20:00,2025-01-01 19:30:00,117,B117,117,19:20-19:30
119,19:40,2025-01-01,2025-01-01 19:30:00,2025-01-01 19:40:00,118,B118,118,19:30-19:40
120,19:50,2025-01-01,2025-01-01 19:40:00,2025-01-01 19:50:00,119,B119,119,19:40-19:50
121,20:00,2025-01-01,2025-01-01 19:50:00,2025-01-01 20:00:00,120,B120,120,19:50-20:00
122,20:10,2025-01-01,2025-01-01 20:00:00,2025-01-01 20:10:00,121,B121,121,20:00-20:10
123,20:20,2025-01-01,2025-01-01 20:10:00,2025-01-01 20:20:00,122,B122,122,20:10-20:20
124,20:30,2025-01-01,2025-01-01 20:20:00,2025-01-01 20:30:00,123,B123,123,20:20-20:30
125,20:40,2025-01-01,2025-01-01 20:30:00,2025-01-01 20:40:00,124,B124,124,20:30-20:40
126,20:50,2025-01-01,2025-01-01 20:40:00,2025-01-01 20:50:00,125,B125,125,20:40-20:50
127,21:00,2025-01-01,2025-01-01 20:50:00,2025-01-01 21:00:00,126,B126,126,20:50-21:00
128,21:10,2025-01-01,2025-01-01 21:00:00,2025-01-01 21:10:00,127,B127,127,21:00-21:10
129,21:20,2025-01-01,2025-01-01 21:10:00,2025-01-01 21:20:00,128,B128,128,21:10-21:20
130,21:30,2025-01-01,2025-01-01 21:20:00,2025-01-01 21:30:00,129,B129,129,21:20-21:30
131,21:40,2025-01-01,2025-01-01 21:30:00,2025-01-01 21:40:00,130,B130,130,21:30-21:40
132,21:50,2025-01-01,2025-01-01 21:40:00,2025-01-01 21:50:00,131,B131,131,21:40-21:50
133,22:00,2025-01-01,2025-01-01 21:50:00,2025-01-01 22:00:00,132,B132,132,21:50-22:00
134,22:10,2025-01-01,2025-01-01 22:00:00,2025-01-01 22:10:00,133,B133,133,22:00-22:10
135,22:20,2025-01-01,2025-01-01 22:10:00,2025-01-01 22:20:00,134,B134,134,22:10-22:20
136,22:30,2025-01-01,2025-01-01 22:20:00,2025-01-01 22:30:00,135,B135,135,22:20-22:30
137,22:40,2025-01-01,2025-01-01 22:30:00,2025-01-01 22:40:00,136,B136,136,22:30-22:40
138,22:50,2025-01-01,2025-01-01 22:40:00,2025-01-01 22:50:00,137,B137,137,22:40-22:50
139,23:00,2025-01-01,2025-01-01 22:50:00,2025-01-01 23:00:00,138,B138,138,22:50-23:00
140,23:10,2025-01-01,2025-01-01 23:00:00,2025-01-01 23:10:00,139,B139,139,23:00-23:10
141,23:20,2025-01-01,2025-01-01 23:10:00,2025-01-01 23:20:00,140,B140,140,23:10-23:20
142,23:30,2025-01-01,2025-01-01 23:20:00,2025-01-01 23:30:00,141,B141,141,23:20-23:30
143,23:40,2025-01-01,2025-01-01 23:30:00,2025-01-01 23:40:00,142,B142,142,23:30-23:40
144,23:50,2025-01-01,2025-01-01 23:40:00,2025-01-01 23:50:00,143,B143,143,23:40-23:50
145,0:00+1,2025-01-01,2025-01-01 23:50:00,2025-01-02 00:00:00,144,B144,144,23:50-0:00+1
