branch,policy,date,initial_soc_kwh,actual_causal_emergency_cost_yuan,fixed_g_perfect_information_emergency_cost_yuan,causal_execution_gap_yuan,actual_emergency_purchase_kwh,perfect_information_emergency_purchase_kwh,perfect_information_terminal_soc_kwh
Q2,B1,2025-02-14,1200.0,4553.012475405633,1490.0088354551483,3063.003639950485,1781.4734790745565,521.8466704393775,1200.0
Q2,B1,2025-02-15,1200.0,6923.460761960556,3406.7202144194416,3516.740547541114,2486.1671220356,1048.289840385784,1200.0
Q2,B1,2025-02-16,1200.0,16925.201730035158,14752.345021631581,2172.8567084035767,4639.089227600996,4202.99685749246,1200.0
Q2,B1,2025-02-17,1200.0,4178.042815911465,2051.7938325745617,2126.2489833369036,1170.874966756919,395.07873424425827,1200.0
Q2,B1,2025-02-18,1200.0,5400.67746946586,1912.5465406283033,3488.1309288375564,1576.1848062659983,428.70976144482296,1200.0
Q2,B1,2025-02-19,1200.0,10801.348467095437,8898.850995526569,1902.4974715688677,2956.0696178011767,2449.612619156006,1200.0
Q2,B1,2025-02-20,1200.0,6558.381501644761,4873.050405086038,1685.3310965587225,1743.2040700196862,1176.0583367936147,1200.0
Q2,B1,2025-02-21,1200.0,1773.728985684128,612.5854829620498,1161.1435027220782,766.7636524785858,288.9960765549323,1200.0
Q2,B1,2025-02-22,1200.0,6241.346868497354,1623.6412330119863,4617.705635485368,2231.453954567562,606.2083823629707,1200.0
Q2,B1,2025-02-23,1200.0,9985.080158498175,7887.797389185838,2097.2827693123363,2940.8410443206158,2361.727390016976,1200.0
Q2,B1,2025-02-24,1200.0,3179.6699260442037,2266.222597686421,913.4473283577827,855.6538959595612,537.4589022854243,1200.0
Q2,B1,2025-02-25,1200.0,3588.160058268093,1767.9959621592584,1820.1640961088347,1038.160394625742,443.55490833369083,1200.0
Q2,B1,2025-02-26,1200.0,5976.173277338072,3762.391978544438,2213.7812987936336,1736.7349246559763,1014.9460992686664,1200.0
Q2,B1,2025-02-27,1200.0,9223.959894781732,7526.189704421232,1697.7701903605002,2056.502592276888,1761.4791084251624,1200.0
Q2,B1,2025-02-28,1200.0,3963.326685066514,785.5009265901756,3177.8257584763387,1409.9404795878818,189.65173298087097,1200.0
Q2,B1,2025-03-01,1200.0,3161.5323528902204,1324.8291859359965,1836.703166954224,941.1722458273248,347.6326339023186,1200.0
Q2,B1,2025-03-02,1200.0,25904.48782668035,22831.28128805488,3073.206538625469,7871.510707515118,7015.302689474178,1200.0
Q2,B1,2025-03-03,1200.0,18878.53781402728,16013.14736113722,2865.3904528900603,5124.462701948958,4513.844165061656,1200.0
Q2,B1,2025-03-04,1200.0,4882.862469544972,1009.0475348702784,3873.814934674693,1584.0409211858323,265.0145766530745,1200.0
Q2,B1,2025-03-05,1200.0,3765.8971622680674,1390.671602867123,2375.2255594009443,974.2915068699855,243.35093512354763,1200.0
Q2,B1,2025-03-06,1200.0,5020.451615159641,3096.152852415853,1924.2987627437878,1459.3433368836015,829.4365559881471,1200.0
Q2,B1,2025-03-07,1200.0,2572.351014128697,104.41729351016937,2467.933720618528,802.8093690848036,49.836495515923666,1200.0
Q2,B1,2025-03-08,1200.0,3066.926576596546,2278.981700291633,787.9448763049131,1193.1932038259897,1015.9608844546547,1200.0
Q2,B1,2025-03-09,1200.0,3821.924305128651,2258.5447240415847,1563.3795810870665,1273.147831822173,751.7041982434262,1200.0
Q2,B1,2025-03-10,1200.0,12678.965639247668,10365.399839773727,2313.5657994739413,4215.543534011043,3621.502276990789,1200.0
Q2,B1,2025-03-11,1200.0,5630.606032474021,4034.0863359866626,1596.5196964873585,1533.270455816008,1016.5294451706562,1200.0
Q2,B1,2025-03-12,1200.0,4973.609468842414,3384.395451708523,1589.2140171338906,1465.9208953645184,818.4020802686516,1200.0
Q2,B1,2025-03-13,1200.0,22812.93324514929,20274.246235083312,2538.687010065976,6713.987654032893,6304.283644086676,1200.0
Q2,B1,2025-03-14,1200.0,3625.489662064819,1493.1360433101397,2132.3536187546797,1269.7999820194746,626.9843094194903,1200.0
Q2,B1,2025-03-15,1200.0,6383.904387706611,3974.4610392088794,2409.443348497731,2177.8881140476506,1358.5574872292436,1200.0
Q2,B1,2025-03-16,1200.0,9376.628829474157,6340.641398384688,3035.9874310894693,2877.494572176942,2198.253333076579,1200.0
Q2,B1,2025-03-17,1200.0,1782.6776255465643,272.2562429542942,1510.4213825922702,528.6603833313281,66.23597295845606,1200.0
Q2,B1,2025-03-18,1200.0,10385.58486295274,7371.687475712517,3013.897387240224,2510.138137535627,1923.1418844867603,1200.0
Q2,B1,2025-03-19,1200.0,6357.312885919565,3817.1890255954613,2540.1238603241036,1489.6775252220682,1013.3848419709252,1200.0
Q2,B1,2025-03-20,1233.1498409932815,10491.75416943442,8917.189670764303,1574.5644986701172,3101.527241395107,2816.4570683406973,1200.0
Q2,B1,2025-03-21,1200.0,3019.53406003634,2377.845235657175,641.688824379165,1113.5068493791296,882.3129437464008,1200.0
Q2,B1,2025-03-22,1200.0,4939.951092693903,372.19422486613576,4567.756867827768,1692.1574291240076,172.16735035641392,1200.0
Q2,B1,2025-03-23,1308.767286566608,9409.147482527944,5919.658646045286,3489.4888364826575,2740.0036819090437,1528.5659278620014,1200.0
Q2,B1,2025-03-24,1200.0,6180.553972641378,3602.4457365891876,2578.1082360521905,1908.0784113213736,1194.8564298411243,1200.0
Q2,B1,2025-03-25,1200.0,16057.807887127363,13897.626076393351,2160.1818107340114,4844.6651205584385,4260.089628120738,1200.0
Q2,B1,2025-03-26,1200.0,4771.7933098089115,3732.273759783986,1039.5195500249256,1373.7823423749153,1087.2250432679148,1200.0
Q2,B1,2025-03-27,1200.0,10770.746218558543,9030.910924517808,1739.8352940407349,3246.922633807747,3030.386453778687,1200.0
Q2,B1,2025-03-28,1200.0,1407.7914295118112,767.7560105839384,640.0354189278728,523.0467192544029,353.63339133650675,1200.0
Q2,B1,2025-03-29,1200.0,3027.0406451229273,2402.610895277887,624.4297498450405,986.379961532297,728.9716592968609,1200.0
Q2,B1,2025-03-30,1200.0,6551.04146047108,3189.5768817720027,3361.4645786990777,2255.9094737692985,1321.1955126183873,1200.0
Q2,B1,2025-03-31,1200.0,14338.799256992272,8669.036044229259,5669.763212763013,4557.377741814516,3104.8799890664036,1200.0
Q2,B1,2025-04-01,1200.0,16561.614401694278,14062.030484295617,2499.5839173986606,5983.004311807861,5502.37162219846,1200.0
Q2,B1,2025-04-02,1200.0,21257.171604253697,16759.672189102075,4497.499415151622,6810.511236232514,5772.1479699719075,1200.0
Q2,B1,2025-04-03,1200.0,8568.146615129182,5955.449063143585,2612.697551985598,2324.89523560007,1643.3116389053102,1200.0
Q2,B1,2025-04-04,1200.0,1920.1865994652499,903.607554451385,1016.5790450138649,768.3763482459675,416.35097413485414,1200.0
Q2,B1,2025-04-05,1200.0,9547.716127905322,1518.9192131639256,8028.796914741396,2968.3638723927324,530.4045946843349,1200.0
Q2,B1,2025-04-06,1200.0,4919.356013290995,1928.5208571776247,2990.8351561133704,1414.162142860714,431.2772257290906,1200.0
Q2,B1,2025-04-07,1200.0,4430.341392844028,287.7409664737956,4142.6004263702325,1536.5800642686643,136.3200624974213,1200.0
Q2,B1,2025-04-08,1200.0,7294.847684167527,3946.9798835273655,3347.867800640162,2099.01789626391,1015.2712701981268,1200.0
Q2,B1,2025-04-09,1200.0,17739.758426121705,14739.70057673796,3000.0578493837456,6158.902918098926,5636.9890678608845,1200.0
Q2,B1,2025-04-10,1200.0,7264.074596862084,6102.74976301989,1161.3248338421936,2182.1324039249002,1792.006616884373,1200.0
Q2,B1,2025-04-11,1200.0,1958.9458563287678,873.8493946481619,1085.096461680606,825.2025053104385,410.2343445719847,1200.0
Q2,B1,2025-04-12,1200.0,3598.783247250055,0.0,3598.783247250055,1198.7955061383593,0.0,1200.0
Q2,B1,2025-04-13,1200.0,9216.206271263145,7913.391073001914,1302.8151982612308,3260.51638369945,2660.082155775567,1200.0
Q2,B1,2025-04-14,1200.0,4758.638684727275,1088.4231871054214,3670.2154976218535,1651.1505135328548,173.6538693954831,1200.0
Q2,B1,2025-04-15,1200.0,6584.082974104339,858.5662935258864,5725.516680578453,1936.4251623011803,223.65049632646918,1200.0
Q2,B1,2025-04-16,1200.0,11020.13074683214,8975.128666557603,2045.0020802745366,4258.991621527821,3579.834090462465,1200.0
Q2,B1,2025-04-17,1200.0,7446.394363030808,5607.475639983006,1838.918723047802,2283.3543512872957,1860.1223291139343,1200.0
Q2,B1,2025-04-18,1200.0,2200.236161627012,306.07556325423764,1894.160598372774,809.7662551082988,142.30429306437765,1200.0
Q2,B1,2025-04-19,1213.505750459329,2392.9826121366655,1247.4786759576928,1145.5039361789727,893.4644307550343,584.9923813644874,1200.0
Q2,B1,2025-04-20,1200.0,5038.975467370299,3414.8005409139532,1624.174926456346,1852.5324568726228,1398.5667451750933,1200.0
Q2,B1,2025-04-21,1200.0,1913.0198413540254,358.847248202389,1554.1725931516364,724.8937180619428,149.3934334192781,1200.0
Q2,B1,2025-04-22,1200.0,9628.233989630142,6339.785979711624,3288.4480099185175,3646.358676998525,2925.1532182708797,1200.0
Q2,B1,2025-04-23,1200.0,5546.886365525259,1443.0713359317401,4103.815029593519,2015.5155473095047,673.0916164856859,1200.0
Q2,B1,2025-04-24,1239.4712731010072,3542.880813511435,1560.0877925892478,1982.7930209221872,1159.7573497006215,352.3720285286,1200.0
Q2,B1,2025-04-25,1200.0,1562.7826068532543,942.8308602966248,619.9517465566295,599.4024309325378,310.88842943319355,1200.0
Q2,B1,2025-04-26,1200.0,9260.440936842659,3092.382983116212,6168.057953726447,2742.633621558538,817.3381986209191,1200.0
Q2,B1,2025-04-27,1200.0,13613.51531730585,10190.071056979259,3423.4442603265907,3318.0768051116984,2835.8389824166384,1200.0
Q2,B1,2025-04-28,1200.0,27098.406755809374,21263.820048458198,5834.586707351176,9177.632043688785,8777.380769370957,1200.0
Q2,B1,2025-04-29,1200.0,5785.195859266529,4931.71002347512,853.485835791409,1392.942820078779,1163.342000760426,1200.0
Q2,B1,2025-04-30,1200.0,6768.849750802533,796.1403532405043,5972.709397562028,2669.5363591038,155.5878356111561,1200.0
Q2,B1,2025-05-01,1200.0,25383.778142817326,21960.714500035858,3423.063642781468,5737.724845669212,5743.448648788502,1200.0
Q2,B1,2025-05-02,1200.0,29650.500446948667,16055.749455427092,13594.750991521574,7462.025849605893,4167.653485920631,1200.0
Q2,B1,2025-05-03,1200.0,19835.245194457133,13012.935876945905,6822.309317511228,4757.279258594544,3125.5803120946516,1200.0
Q2,B1,2025-05-04,1200.0,18449.62159817959,14358.497396890603,4091.124201288987,4870.0712199648815,3189.2901357327532,1200.0
Q2,B1,2025-05-05,1200.0,21409.61065429017,19068.981320518546,2340.6293337716234,6005.09063940076,5284.1573513233125,1200.0
Q2,B1,2025-05-06,1200.0,18774.385045945815,15424.14745381434,3350.237592131476,5000.520467046202,3899.0247187415275,1200.0
Q2,B1,2025-05-07,1200.0,22582.958976438353,20940.909742787866,1642.0492336504867,5708.83688734676,5286.018795989248,1200.0
Q2,B1,2025-05-08,1200.0,13729.201937496022,8430.066257047052,5299.13568044897,4670.701971916635,3329.7158575611725,1200.0
Q2,B1,2025-05-09,1200.0,2116.3691014626884,630.3321567784737,1486.0369446842146,694.1129610253325,251.6694875347624,1200.0
Q2,B1,2025-05-10,1200.0,8596.94321159797,382.25855488389544,8214.684656714075,2640.303562793165,183.11568682252602,1200.0
Q2,B1,2025-05-11,1200.0,11000.414133643224,7550.584952927064,3449.8291807161604,3632.912814292977,2606.2736931195977,1200.0
Q2,B1,2025-05-12,1200.0,3532.1185058542565,1035.5098750604848,2496.6086307937717,1062.3808327809857,229.85978168415375,1200.0
Q2,B1,2025-05-13,1200.0,2627.748819056498,882.0877876006858,1745.6610314558125,779.5182067257745,135.9492068992267,1200.0
Q2,B1,2025-05-14,1200.0,2328.0938787729337,0.0,2328.0938787729337,764.693464762627,0.0,1200.0
Q2,B1,2025-05-15,1329.2823325177906,5705.704336782858,2341.224511693693,3364.4798250891654,1537.6379310794152,618.037664079468,1200.0
Q2,B1,2025-05-16,1414.9402783842124,1645.9651361910283,717.5430315420003,928.4221046490279,723.6184980935344,338.8514145423839,1200.0
Q2,B1,2025-05-17,1200.0,11591.028115078352,3434.0546752810706,8156.973439797282,3366.3973557436757,760.5243525435914,1200.0
Q2,B1,2025-05-18,1200.0,6889.031981609521,3669.3232158779247,3219.708765731596,3003.0989815788316,1699.2647247175616,1200.0
Q2,B1,2025-05-19,1231.6307011477925,3013.1272080459094,1321.7674691643274,1691.359738881582,704.5026733777632,207.7126424971268,1200.0
Q2,B1,2025-05-20,1200.0,12394.598386187392,7737.966184200539,4656.632201986853,4052.166428203387,3015.409157551172,1200.0
Q2,B1,2025-05-21,1200.0,5527.923192454019,3324.570215784707,2203.352976669312,1645.86525873549,875.3719881092051,1200.0
Q2,B1,2025-05-22,1200.0,7546.435462185905,5330.739192152721,2215.6962700331833,2211.0764634248503,1312.111616185909,1200.0
Q2,B1,2025-05-23,1200.0,6767.006536360535,1587.5408581454421,5179.465678215093,2003.2280369370364,493.87965000380865,1200.0
Q2,B1,2025-05-24,1200.0,1578.5646846476761,369.5564085438582,1209.008276103818,618.6979524871613,172.28626492428512,1200.0
Q2,B1,2025-05-25,1278.0984400142172,4450.172982045965,3318.8982517741597,1131.2747302718053,1043.1868742296379,648.8425451826963,1200.0
Q2,B1,2025-05-26,1200.0,13809.353389139998,10225.307435347113,3584.0459537928855,5504.250906808975,4606.606611719735,1200.0
Q2,B1,2025-05-27,1220.0041709463464,1502.6890489900686,0.0,1502.6890489900686,550.0268270253116,0.0,1200.0
Q2,B1,2025-05-28,1200.0,13051.378919810648,6120.317010512426,6931.0619092982215,5230.888227955106,2555.5713853782217,1200.0
Q2,B1,2025-05-29,1200.0,16188.599535330599,13727.889982930294,2460.7095524003053,5576.068354609213,4824.392857413912,1200.0
Q2,B1,2025-05-30,1200.0,8491.315958607427,1798.3231233465685,6692.992835260859,2278.451294362547,417.8677697109449,1200.0
Q2,B1,2025-05-31,1279.38568111453,10177.70641198757,2017.8140269517016,8159.892385035869,3039.407150123016,750.7650220115482,1200.0
Q2,B1,2025-06-01,1200.0,67238.5638676829,63845.069987189854,3393.4938804930425,20464.271428586602,20378.558130561083,1200.0
Q2,B1,2025-06-02,1200.0,56093.94598894611,53235.26724892023,2858.6787400258763,15961.207542697986,15803.399436504467,1200.0
Q2,B1,2025-06-03,1200.0,48033.745539179385,45920.13070517898,2113.6148340004074,13813.140337559356,13730.791037377167,1200.0
Q2,B1,2025-06-04,1200.0,44509.66500466225,42940.14542785634,1569.519576805913,13132.420323834529,13106.879438223914,1200.0
Q2,B1,2025-06-05,1200.0,44191.43508782395,43677.0417226945,514.3933651294501,13354.611306687202,13317.81518379728,1200.0
Q2,B1,2025-06-06,1200.0,48593.385195282695,30868.594061670272,17724.791133612423,13128.685825872406,7973.272256192118,1200.0
Q2,B1,2025-06-07,1200.0,33269.97689139589,22005.451541191112,11264.525350204778,9168.887045304322,5711.501054507658,1200.0
Q2,B1,2025-06-08,1200.0,1690.429118199387,111.18631447435969,1579.2428037250272,485.8894158373735,16.502091016912345,1200.0
Q2,B1,2025-06-09,1391.923513185465,5856.7051425073405,1647.8816615368905,4208.82348097045,1576.2225744343214,319.6163703472185,1200.0
Q2,B1,2025-06-10,1299.6338296233364,2355.582448340884,329.5246002170875,2026.0578481237967,824.3486978994641,48.87823201410413,1200.0
Q2,B1,2025-06-11,1401.923358399364,19556.815008929418,15911.014636448712,3645.800372480706,4613.860278205691,4075.191751641413,1200.0
Q2,B1,2025-06-12,1435.355939915998,4975.259819816523,772.3063655230012,4202.953454293522,1419.0162355782306,225.51864371682052,1200.0
Q2,B1,2025-06-13,1587.986471848687,1817.3756885593957,0.0,1817.3756885593957,672.5778553904295,0.0,1200.0
Q2,B1,2025-06-14,1542.0608798575936,2676.858120696308,0.0,2676.858120696308,1193.8158925147256,0.0,1200.0
Q2,B1,2025-06-15,1373.6964427854032,1913.6182261192907,422.2938218321802,1491.3244042871106,560.5601567613892,62.28113405371744,1200.0
Q2,B1,2025-06-16,1596.7502342192768,3994.3508029273926,146.40311619954122,3847.9476867278513,1224.6536456760964,21.70708933241133,1200.0
Q2,B1,2025-06-17,1564.7681882822858,9710.218148189324,6756.389477327774,2953.8286708615497,2376.3892096689183,1557.480536583844,1200.0
Q2,B1,2025-06-18,1315.549702206753,3307.069412009596,363.23382360747746,2943.8355884021184,939.8774226903415,53.870976868649564,1200.0
Q2,B1,2025-06-19,1516.0244569542322,3279.946457249518,914.1178999404472,2365.8285573090707,908.6653888406826,135.7574901425436,1200.0
Q2,B1,2025-06-20,1200.0,751.9823930949128,0.0,751.9823930949128,266.1216501624457,0.0,1200.0
Q2,B1,2025-06-21,1722.342865600751,976.1405556046661,182.04579353992213,794.094762064744,442.60885413119115,85.16384814452691,1200.0
Q2,B1,2025-06-22,1682.519877176131,6017.592382995391,786.8735891291274,5230.718793866264,1758.1838798203821,116.20709349854565,1200.0
Q2,B1,2025-06-23,1200.0,4091.769821988426,110.90667306350339,3980.8631489249224,1137.3712886471744,16.305640830277184,1200.0
Q2,B1,2025-06-24,1369.9442897454207,33700.323531426264,27895.323707548527,5804.999823877737,9513.958140536195,8573.223785705823,1200.0
Q2,B1,2025-06-25,1522.037147887724,8658.83256204312,3652.3218613486447,5006.510700694476,2953.3802283276577,1372.3326319327364,1200.0
Q2,B1,2025-06-26,1336.5510495647038,5728.655149789461,1958.3893415407902,3770.2658082486705,1661.9910338872671,434.5948656752289,1200.0
Q2,B1,2025-06-27,1200.0,858.7704817930116,0.0,858.7704817930116,374.2831165088122,0.0,1200.0
Q2,B1,2025-06-28,1301.5312623086982,2574.409957564987,0.0,2574.409957564987,795.3245257687171,0.0,1200.0
Q2,B1,2025-06-29,1226.365568556518,8159.9636363521,3116.5662188972447,5043.397417454856,2687.4111187981825,1140.384175639862,1200.0
Q2,B1,2025-06-30,1225.5452851313376,5629.489612285634,658.513539546064,4970.976072739571,1610.5083272762467,97.73501349182436,1200.0
Q2,B1,2025-07-01,1270.4837152581647,28734.79437134579,28569.584799465465,165.2095718803248,8288.371155916448,8213.672854993398,1200.0
Q2,B1,2025-07-02,1200.0,28111.019058357655,23847.06569325366,4263.9533651039965,7963.671161657678,6015.082631886709,1200.0
Q2,B1,2025-07-03,1200.0,49834.24208767486,49093.26096178113,740.9811258937261,14509.762114703935,14444.879950512586,1200.0
Q2,B1,2025-07-04,1200.0,33145.30041403553,30033.510672237637,3111.7897417978966,9260.059624299402,8878.09439560123,1200.0
Q2,B1,2025-07-05,1200.0,38488.7168680722,32979.24440900519,5509.472459067016,10375.129658681839,9327.012016017303,1200.0
Q2,B1,2025-07-06,1200.0,63550.69664509701,62033.677270552886,1517.019374544121,18604.99193451137,18455.16868593226,1200.0
Q2,B1,2025-07-07,1200.0,26463.1495388139,25529.39839068664,933.7511481272595,7862.354534883313,7560.9476297068995,1200.0
Q2,B1,2025-07-08,1200.0,3186.9515078920863,325.75577574357965,2861.1957321485065,932.2064094404818,48.26046318214537,1200.0
Q2,B1,2025-07-09,1628.926429191603,2319.216885859453,340.6900569295182,1978.526828929935,704.7493910705678,50.52233180738472,1200.0
Q2,B1,2025-07-10,1797.3123523535132,2484.2595434584846,697.8837301311349,1786.3758133273495,767.863086417633,103.5252079435187,1200.0
Q2,B1,2025-07-11,1200.0,3943.91090369849,0.0,3943.91090369849,1622.2807424446376,0.0,1200.0
Q2,B1,2025-07-12,1959.76164522527,1324.5275184423642,0.0,1324.5275184423642,415.041469387475,0.0,1200.0
Q2,B1,2025-07-13,1378.1333218283175,2370.9225204200484,961.0864169687034,1409.836103451345,474.26361008403677,142.73063399821456,1200.0
Q2,B1,2025-07-14,1560.9764192281652,1140.9190009156305,103.8510382700648,1037.0679626455658,209.85210401703532,15.424185098776888,1200.0
Q2,B1,2025-07-15,1548.4091333960478,4144.756679643713,57.0210388991381,4087.735640744575,1611.4575049114105,8.482118095818237,1200.0
Q2,B1,2025-07-16,1842.003003147457,2983.1642038699997,441.2667799215751,2541.8974239484246,854.2673978545658,65.38979508076534,1200.0
Q2,B1,2025-07-17,1338.022004532008,6065.421776171381,1689.9181986940162,4375.503577477364,1800.1724336984362,435.33879576454746,1200.0
Q2,B1,2025-07-18,1292.438078086213,3366.7464920063667,0.0,3366.7464920063667,1259.711875901084,0.0,1200.0
Q2,B1,2025-07-19,1734.368827407151,2413.704350384979,0.0,2413.704350384979,740.5272145488568,0.0,1200.0
Q2,B1,2025-07-20,1325.1248110526724,4748.56844891707,697.7285415978931,4050.8399073191767,1747.1298925745275,265.9627539525392,1200.0
Q2,B1,2025-07-21,1318.9536758783147,1912.4001205054576,15.717386779979476,1896.682733725478,668.2219329570219,2.253065765478709,1200.0
Q2,B1,2025-07-22,1830.9621269282693,4168.4234719664455,437.1769769133904,3731.2464950530552,1252.0485412377266,64.80210493683308,1200.0
Q2,B1,2025-07-23,1392.6901032367798,3481.357051140903,401.9314865647418,3079.4255645761614,1099.8071735316921,59.42397964886618,1200.0
Q2,B1,2025-07-24,1373.90251795957,9682.629781852645,3651.207119840389,6031.422662012256,2797.763250537762,1000.1649385236728,1200.0
Q2,B1,2025-07-25,1373.698885683128,881.7414788651968,0.0,881.7414788651968,327.5113933268067,0.0,1200.0
Q2,B1,2025-07-26,1546.331590710728,1918.3135429446306,0.0,1918.3135429446306,851.7464411628472,0.0,1200.0
Q2,B1,2025-07-27,1368.3261734970768,11266.182384234493,6833.021081379579,4433.161302854914,3627.1453148144715,2461.9065155147,1200.0
Q2,B1,2025-07-28,1327.6137569215257,12979.392727262404,8867.326704092511,4112.066023169893,4034.3112032833847,3111.450241667818,1200.0
Q2,B1,2025-07-29,1507.6930619128814,4298.000385372035,498.93397355968705,3799.0664118123486,1504.522189759652,73.72002635464571,1200.0
Q2,B1,2025-07-30,1565.94550678119,3882.442579376428,149.42950971875598,3733.013069657672,1173.9186332932654,68.78081296825901,1200.0
Q2,B1,2025-07-31,1587.2920295058082,9326.56807247094,5839.696682515884,3486.8713899550557,2571.2042791610957,1413.9046635715192,1200.0
Q2,B1,2025-08-01,1200.0,1054.7734531348044,0.0,1054.7734531348044,459.96141796715625,0.0,1200.0
Q2,B1,2025-08-02,1460.6176694851877,1068.056946841394,0.0,1068.056946841394,304.2691816663619,0.0,1200.0
Q2,B1,2025-08-03,1270.047743706145,5281.500011895272,4221.90283996005,1059.597171935222,1236.0347593167708,861.3360752981043,1200.0
Q2,B1,2025-08-04,1200.0,2289.191955716311,279.5168368702025,2009.6751188461085,583.1233568257915,41.5058843025173,1200.0
Q2,B1,2025-08-05,1492.0205638363143,1827.0294817969132,105.88906160143708,1721.140420195476,677.4184546109914,15.708102271869507,1200.0
Q2,B1,2025-08-06,1478.838253467164,11891.147651978034,6050.248996612023,5840.898655366011,3379.8174446911767,1740.5961718394688,1200.0
Q2,B1,2025-08-07,1200.0,3129.7823562232525,588.1387438793267,2541.6436123439257,1259.082750120654,175.45633352316815,1200.0
Q2,B1,2025-08-08,1200.0,1451.71980417321,0.0,1451.71980417321,356.1419231952558,0.0,1200.0
Q2,B1,2025-08-09,1372.419833768275,4951.916293170915,732.8718944243863,4219.044398746529,1592.8925687746,301.12041083580715,1200.0
Q2,B1,2025-08-10,1200.0,10810.708595419519,6375.929127590582,4434.779467828937,3407.2258722588413,2476.741364975457,1200.0
Q2,B1,2025-08-11,1319.5027311816991,1653.8059879654675,760.2828419760167,893.5231459894508,434.7991399409732,112.79635367824756,1200.0
Q2,B1,2025-08-12,1239.0365449473445,12236.018022840088,8966.520837039834,3269.4971858002536,3736.980052202646,2841.9669786442205,1200.0
Q2,B1,2025-08-13,1287.493092526992,8039.90129347468,4107.870196557968,3932.031096916712,2909.5383769980413,1528.4263474902111,1200.0
Q2,B1,2025-08-14,1350.5951439345945,14048.699100095982,10746.943256351198,3301.755843744784,4360.006228088448,3256.9347339090477,1200.0
Q2,B1,2025-08-15,1200.0,2605.9839202096764,638.4854500710048,1967.4984701386716,911.4592717078993,295.6089820395375,1200.0
Q2,B1,2025-08-16,1200.0,4969.040775482825,1606.4421574849384,3362.5986179978863,1482.6545122623752,384.8719041762824,1200.0
Q2,B1,2025-08-17,1200.0,9569.535671610563,5331.6847136349825,4237.850957975581,2512.474415711341,1377.596718252135,1200.0
Q2,B1,2025-08-18,1200.0,5529.4710654333285,1004.3666461114642,4525.104419321864,1441.9183553912312,147.70106701183317,1200.0
Q2,B1,2025-08-19,1542.2054767273248,4097.947515576594,765.6360583557118,3332.3114572208824,1237.656378741001,113.46381177225226,1200.0
Q2,B1,2025-08-20,1412.0034694189285,24284.95134749155,16922.065819316664,7362.885528174887,7700.191889726489,6509.194229739839,1200.0
Q2,B1,2025-08-21,1200.0,8768.686436462147,2540.6537102964826,6228.032726165664,2661.6680807686344,976.2393681062697,1200.0
Q2,B1,2025-08-22,1200.0,6899.825707520653,1782.127532586314,5117.6981749343395,2030.126060940669,455.0669120829499,1200.0
Q2,B1,2025-08-23,1200.0,2128.9216647117837,282.8203291662113,1846.1013355455725,692.1857709661208,71.93405789284262,1200.0
Q2,B1,2025-08-24,1200.0,8256.727253013112,6135.875064453519,2120.852188559593,2077.011526874758,1471.404279089778,1200.0
Q2,B1,2025-08-25,1200.0,15328.075018037907,11307.910418643552,4020.164599394355,5002.402045277315,4097.503846161385,1200.0
Q2,B1,2025-08-26,1577.334140636434,3072.550443452055,183.33523296569032,2889.2152104863644,700.744990921674,26.280853349439553,1200.0
Q2,B1,2025-08-27,1643.717369262035,8309.137119113975,4327.216873602147,3981.9202455118284,3001.564836277191,1584.0789169306408,1200.0
