policy,date,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_purchase_kwh,remaining_energy_kwh,charge_kwh,discharge_kwh,soc_min_kwh,soc_max_kwh,terminal_soc_kwh
B1,2025-02-24,48010.60112746046,3339.664142538332,51350.26526999879,836.9826230824294,2463.1957582009627,23006.25669195217,18613.899382970147,1200.0,10800.0,1223.5205972345689
B1,2025-02-25,47172.83924026317,3774.6229457702057,50947.46218603338,1039.3169314718853,4850.177987932306,20757.76226824697,16834.95597479116,1200.0,10800.000000000002,1200.0
B1,2025-02-26,47461.65952409489,6508.501210233423,53970.16073432831,1758.552753885419,2027.3395661217862,23144.88672869921,18747.35825024636,1200.0,10800.000000000002,1200.0
B1,2025-02-27,45095.40070850178,9819.897990696127,54915.29869919791,2042.0416138825622,2411.9800373671324,22927.685814507306,18571.425509750916,1200.0,10800.000000000002,1200.0
B1,2025-02-28,13421.474584598867,2789.616548491356,16211.091133090224,1321.8568665543605,8121.393723797906,18818.459752062616,15242.95239917072,1200.0,10800.0,1200.0
B1,2025-03-01,13242.691246242286,2486.3607762478728,15729.05202249016,935.7941189687666,7077.538749406165,19164.964553950067,15489.702155241588,1200.0,10800.0,1237.6879260644062
B1,2025-03-02,45111.84202284566,30081.886174614487,75193.72819746015,7900.875049326506,1424.7241924712969,26914.456453176786,21834.628860531164,1200.0,10800.0,1200.0
B1,2025-03-03,46564.99159573432,21814.630570943573,68379.62216667789,5147.008977485835,1241.4422585270831,24197.761238450374,19600.186603144808,1200.0,10800.000000000002,1200.0
B1,2025-03-04,47658.67560018673,5071.680504928129,52730.35610511486,1481.5517341924858,2148.922848030615,23886.484401232326,19348.052364998184,1200.0,10800.000000000002,1200.0
B1,2025-03-05,46788.458281697276,3383.4998375855143,50171.95811928279,896.1734116001123,5040.508366665079,22176.275724466374,17962.783336817763,1200.0,10800.0,1200.0
B1,2025-03-06,45716.23947765579,5127.25693810675,50843.49641576254,1418.784550237279,3533.9677719794477,22185.647796021338,17970.37471477729,1200.0,10800.000000000004,1200.0
B1,2025-03-07,12940.411911728925,2018.3214315190144,14958.733343247939,856.6754122804567,9222.05630149128,17843.83161955551,14421.061792699127,1200.0,10800.0,1236.0464657120351
B1,2025-03-08,12159.160688367143,2439.199509199702,14598.360197566844,1190.2899264721343,9321.042535305953,19083.963746961752,15490.452454179853,1200.0,10800.0,1200.0
B1,2025-03-09,43005.93381499823,3607.752391604872,46613.6862066031,1215.2792262879989,3109.0641234823333,22664.896438945423,18358.56611554579,1200.0,10800.000000000002,1200.0
B1,2025-03-10,44015.5270593334,14762.894145176402,58778.4212045098,4286.128447359408,731.4353751833489,23583.939611829257,19068.61926841147,1200.0,10800.0,1238.190907966913
B1,2025-03-11,42991.08742637294,6214.196109639973,49205.28353601291,1570.4787439576098,2651.9180009029737,21726.361681184342,17632.724778929543,1200.0,10800.000000000002,1200.0
B1,2025-03-12,41646.06804398253,5140.837808925623,46786.90585290816,1434.1751695557248,2626.34348893844,22268.596295949905,18037.562999719426,1200.0,10800.0,1200.0
B1,2025-03-13,40992.46964516836,25913.75429429661,66906.22393946497,6634.198821576161,476.7427225943079,22403.820661724818,18147.094735997103,1200.0,10800.000000000002,1200.0
B1,2025-03-14,11318.097254161245,3145.544722257618,14463.641976418861,1420.9625780279312,11663.51138810751,18937.069287280498,15323.595505748362,1200.0,10800.0,1217.1451299431517
B1,2025-03-15,11832.295807603117,5180.842492878952,17013.138300482067,2215.334428742147,7789.563803781021,17888.45137691874,14505.076232253017,1200.0,10800.0,1200.0
B1,2025-03-16,40624.724835719266,9705.54488187935,50330.26971759862,2848.1856255286134,1425.176758570897,22710.97017984863,18395.885845677396,1200.0,10800.000000000002,1200.0
B1,2025-03-17,40627.762949605436,2037.2350233993498,42664.997973004785,602.4688958149862,6564.52781832215,19912.103341931765,16128.803706964729,1200.0,10800.0,1200.0
B1,2025-03-18,38862.6291229292,11046.336223771554,49908.965346700745,2482.4670799707237,1321.7986520555503,22312.4089746059,18073.05126943078,1200.0,10800.000000000002,1200.0
B1,2025-03-19,38576.427876384754,6554.886078245601,45131.31395463036,1485.7847627383924,1948.9251419579887,23286.91430885841,18801.026920013246,1200.0,10800.0,1268.19296684674
B1,2025-03-20,39169.04247646015,11318.60900400072,50487.65148046087,3103.397615669877,645.626134165208,22426.896972485556,18227.160217875367,1200.0,10800.000000000002,1200.0
B1,2025-03-21,11241.132927942052,2295.802585596147,13536.935513538197,1054.8225434825351,14948.559795807823,18212.20681968063,14751.887523941306,1200.0,10800.0,1200.0
B1,2025-03-22,11466.831029038836,3501.4114238885927,14968.242452927429,1731.7567790738042,12321.774345838689,17912.95788437668,14509.495886345107,1200.0,10800.0,1200.0
B1,2025-03-23,37280.78177155869,9773.237650593752,47054.01942215244,2726.285508933818,2103.606201562622,22193.635508405798,17976.844761808694,1200.0,10800.000000000002,1200.0
B1,2025-03-24,37550.23279075387,6130.555675567947,43680.78846632182,1913.7844654470898,2148.5062733719265,23405.354755820914,18958.337352214934,1200.0,10800.0,1200.0
B1,2025-03-25,36559.60114054433,16104.562110243814,52664.163250788144,4746.179157507019,656.1504132248774,21517.990321040004,17429.5721600424,1200.0,10800.000000000002,1200.0
B1,2025-03-26,36359.49030863871,4660.085754914696,41019.57606355341,1328.9573753468585,2561.824461486223,22057.308496501464,17866.419882166192,1200.0,10800.000000000002,1200.0
B1,2025-03-27,35982.55592488504,10992.674258980443,46975.23018386549,3239.726208251786,805.9143114584807,22230.39688320189,18006.621475393535,1200.0,10800.000000000002,1200.0
B1,2025-03-28,11067.647745742797,1265.3087993702184,12332.956545113017,588.2730287989223,15354.81545067095,17458.490039476546,14141.376931976003,1200.0,10800.0,1200.0
B1,2025-03-29,10865.128380028784,2364.523497395032,13229.651877423816,975.4682123408367,18394.50279606677,15679.520418272878,12700.37680108435,1200.0,10800.000000000002,1200.0385974629835
B1,2025-03-30,34665.92342950381,6155.820456525949,40821.743886029755,2155.9596409995247,1097.628483649028,23093.082708072543,18705.431731255445,1200.0,10800.0,1200.0
B1,2025-03-31,34786.61500933765,14706.84401897162,49493.45902830928,4473.668644038513,1614.70815736838,21470.024629127616,17334.85464708911,1200.0,10800.000000000002,1262.0725583380708
B1,2025-04-01,35839.71660478981,18587.653056602656,54427.36966139247,6085.555446923564,820.06690623524,21136.187871535338,17176.177478447888,1200.0,10800.0,1200.0
B1,2025-04-02,35323.78854129898,24392.63169414662,59716.4202354456,6783.311984770337,1219.761508503839,22029.27609704439,17843.71363860596,1200.0,10800.000000000004,1200.0
B1,2025-04-03,35881.30533177117,10954.662716828065,46835.96804859923,2813.031850709716,2933.4544771707924,23005.929780737486,18634.80312239737,1200.0,10800.000000000004,1200.0
B1,2025-04-04,10436.44078470952,1499.565555940642,11936.006340650163,768.3763482459696,18792.624686705032,14937.45730832389,12099.340419742348,1200.0,10800.0,1200.0
B1,2025-04-05,10671.001959111089,6547.354655862572,17218.35661497366,2965.481194935269,15576.204428003715,15042.2326769519,12173.545347637624,1200.0,10800.000000000007,1211.8479118815742
B1,2025-04-06,35066.14274131422,4642.920129170757,39709.06287048498,1350.232997523565,1591.6748054301513,21228.804456322454,17205.994730314604,1200.0,10800.000000000002,1200.0
B1,2025-04-07,34913.562851221825,5580.041582447806,40493.60443366963,2006.1012934871515,3661.8736691894687,22265.05253651141,18034.69255457424,1200.0,10800.0,1200.0
B1,2025-04-08,34777.69949874758,8995.325089166623,43773.024587914195,2346.432158719794,2734.5621939989733,22006.291710630903,17825.09628561103,1200.0,10800.0,1200.0
B1,2025-04-09,34224.5579411331,18597.668667968428,52822.226609101526,6175.474758227914,712.6380253221686,22043.024561322454,17854.849894671188,1200.0,10800.000000000002,1200.0
B1,2025-04-10,34164.441780071196,9365.021484023708,43529.463264094906,2475.7100990921235,1555.9380307204237,21149.66384611095,17131.22771534987,1200.0,10800.0,1200.0
B1,2025-04-11,10313.720073940984,1458.336990795391,11772.057064736375,767.6286516533198,19511.397396498563,16522.355917836143,13383.10829344727,1200.0,10800.000000000002,1200.0
B1,2025-04-12,9998.082393554387,2206.90033628002,12204.982729834406,1180.6669778442322,16533.92939133432,16809.218713851402,13615.467158219637,1200.0,10800.0,1200.0
B1,2025-04-13,33383.763936687494,9182.361622277873,42566.125558965374,3162.4030915886424,575.9440114969001,22023.96917672387,17838.54976299494,1200.0,10800.0,1200.9614112793308
B1,2025-04-14,33340.36732723566,4660.351576060414,38000.718903296074,1660.192909932871,1885.3394913579384,21682.87398782642,17563.993200290795,1200.0,10800.0,1200.0
B1,2025-04-15,33374.78298551741,6252.080563156052,39626.863548673464,1933.883952828737,4808.345089584116,21107.417195935217,17091.559039526666,1200.0,10800.0,1206.054321312066
B1,2025-04-16,33515.32751536823,11828.307762041224,45343.635277409456,4284.3749112757005,753.0957926711362,20133.085574811503,16313.248204778174,1200.0,10800.000000000004,1200.0
B1,2025-04-17,32589.49622793823,7360.502056749625,39949.998284687856,2277.5740180277726,631.1345647135387,20375.687831172334,16504.307143249593,1200.0,10800.000000000002,1200.0
B1,2025-04-18,10164.637536623084,1959.6911452595446,12124.32868188263,990.3940926485816,18541.64420994832,15309.9821257058,12401.085521821697,1200.0,10800.0,1200.0
B1,2025-04-19,9792.884953367684,2027.7280031514877,11820.612956519171,988.6060387306171,17171.518624310746,15239.878881307299,12344.30189385891,1200.0,10800.000000000004,1200.0
B1,2025-04-20,32331.26526151732,4923.907619824012,37255.17288134133,1817.2877739001538,539.3608565200659,20935.210229646396,16957.520286013587,1200.0,10800.000000000004,1200.0
B1,2025-04-21,32617.025052416844,2174.4124515268973,34791.437503943744,789.6181176070236,4362.828791208659,19346.050250499622,15670.300702904695,1200.0,10800.0,1200.0
B1,2025-04-22,31883.36905390947,9732.948236308757,41616.31729021823,3755.2464608676123,980.3216501036297,19859.799837264145,16086.43786818395,1200.0,10800.000000000002,1200.0
B1,2025-04-23,32589.699414275216,5998.357273669443,38588.056687944656,2152.5735402741766,1752.6121677096166,20251.09378443603,16403.385965393187,1200.0,10800.0,1200.0
B1,2025-04-24,31631.327993191266,3481.503284820899,35112.83127801216,1185.7050052859188,3617.905900738464,20058.884101776985,16247.696122439364,1200.0,10800.000000000002,1200.0
B1,2025-04-25,9108.274484022213,1156.2557272732456,10264.530211295458,547.1401552698143,20938.957175831234,16432.920356699236,13310.665488926383,1200.0,10800.0,1200.0
B1,2025-04-26,9047.05738802568,6360.463918285751,15407.52130631143,2819.0151953245827,24916.160613161002,16927.708272627406,13706.177649502537,1200.0,10800.000000000002,1205.851168139625
B1,2025-04-27,29432.821134444443,13030.074643509273,42462.895777953716,3279.7380002520567,1290.1890145936989,19046.58014926523,15432.995972230501,1200.0,10800.0,1200.0
B1,2025-04-28,31169.253360726783,28764.949686139033,59934.20304686581,9167.21794121492,874.6988590961994,19438.29434695092,15745.018421030245,1200.0,10800.000000000004,1200.0
B1,2025-04-29,31118.014606198274,5612.443936528079,36730.45854272635,1362.9825729839747,4216.962384745394,19500.49486236897,15795.400838518866,1200.0,10800.0,1200.0
B1,2025-04-30,30564.667402820407,6173.822251683338,36738.48965450375,2459.146412672374,2914.1970680325053,19239.363653031105,15583.884558955195,1200.0,10800.0,1200.0
B1,2025-05-01,30241.6195814971,25663.581435182467,55905.201016679566,5754.068160875745,982.4599446886717,19110.884706392626,15479.81661217803,1200.0,10800.000000000004,1200.0
B1,2025-05-02,9636.28856103589,21408.800706210543,31045.089267246432,7545.483204379532,15302.629968893936,16756.40397353449,13572.687218562936,1200.0,10800.0,1200.0
B1,2025-05-03,9481.845524584514,14779.638274035367,24261.483798619884,4819.472186573818,18169.275805189653,15946.142189355583,12916.375173378026,1200.0,10800.0,1200.0
B1,2025-05-04,31556.466344231907,18206.145200657746,49762.61154488965,4702.26200202948,1538.5710878436798,17846.779931637568,14455.89174462643,1200.0,10800.0,1200.0
B1,2025-05-05,32349.70806242646,25801.88713547299,58151.59519789945,6121.467802591948,1389.3341550941045,19331.48288693271,15658.501138415493,1200.0,10800.0,1200.0
B1,2025-05-06,32182.0533987012,22502.56405576933,54684.61745447053,5290.7843135925405,1807.1620054337527,19000.454474783688,15390.368124574785,1200.0,10800.000000000002,1200.0
B1,2025-05-07,32594.757382169573,24306.296888745055,56901.05427091463,5712.566999090072,815.6488374101057,19201.608419344255,15553.302819668837,1200.0,10800.000000000002,1200.0
B1,2025-05-08,35155.14514441372,13294.773046998602,48449.918191412326,4560.770455370626,1608.6350083657335,20423.077882852795,16542.693085110765,1200.0,10800.0,1200.0
B1,2025-05-09,11650.131093974152,1581.6807889840602,13231.811882958213,689.938289470755,17655.67203424452,13951.946187250598,11301.076411672984,1200.0,10800.000000000002,1200.0
B1,2025-05-10,11571.64295145079,5346.200264531793,16917.843215982582,2622.0384579213114,15550.382994241563,15677.666691043585,12690.219421477235,1200.0,10800.0,1209.6562202978532
B1,2025-05-11,35130.45385186765,10966.418908740236,46096.87276060788,3655.3349717880883,1502.8599690140045,20115.383145839765,16302.150946398278,1200.0,10800.0,1200.0
B1,2025-05-12,35873.98524882628,5369.428793782149,41243.41404260843,1700.194855819578,5187.998826407757,17090.471468771906,13843.281889705246,1200.0,10800.000000000004,1200.0
B1,2025-05-13,35381.494902076156,1874.8938077466753,37256.38870982283,661.5841908071211,2439.3185282791105,20665.36482581023,16690.1461832955,1200.0,10800.0,1254.2214729008792
B1,2025-05-14,35467.83301204399,2484.734980651134,37952.56799269513,833.7956233098174,3120.4992476021503,18031.11010680039,14653.99851211911,1200.0,10800.0,1200.0
B1,2025-05-15,34824.10131033134,6053.133985490657,40877.23529582199,1610.0778694272094,2249.512852528698,19709.50633040587,15933.66667842977,1234.4816102210937,10800.0,1234.4816102210937
B1,2025-05-16,10952.003866494866,1375.293181695389,12327.297048190254,781.7973206921105,22335.00677090888,15008.465136288549,12187.890209592708,1200.0,10800.0,1200.0
B1,2025-05-17,10946.120004617716,7602.761943064854,18548.88194768257,3212.422201499,17105.068825917624,14431.600619086226,11689.596501459842,1200.0,10800.0,1200.0
B1,2025-05-18,34154.694362748865,7518.016901932381,41672.71126468125,2981.618506642495,1523.4442761869925,19837.590895052177,16068.448624992265,1200.0,10800.0,1200.0
B1,2025-05-19,33832.01102421315,3066.204136732341,36898.21516094549,693.2403171239392,5876.170438291645,18876.55218670597,15290.007271231838,1200.0,10800.0,1200.0
B1,2025-05-20,33343.7618755868,12605.058065283243,45948.819940870046,3894.8262361161487,1092.0275152434117,18414.07829770829,14915.403421143717,1200.0,10800.000000000002,1200.0
B1,2025-05-21,34249.83587602383,6507.359450674112,40757.19532669795,1987.135755197588,3383.948707072266,18247.82580619429,14780.738903017374,1200.0,10800.0,1200.0
B1,2025-05-22,32399.115901339395,7428.540083278824,39827.65598461822,2171.6660920601703,1320.6835819732064,17472.233821975417,14152.50939580009,1200.0,10800.0,1200.0
B1,2025-05-23,10681.129130352218,4461.220966039722,15142.35009639194,1961.5880632243225,19544.18208938805,15271.916549069803,12370.252404746543,1200.0,10800.0,1200.0
B1,2025-05-24,11205.675569784697,1275.8886976207966,12481.564267405493,707.3914452113794,21296.2420048783,13699.790745238446,11055.491148370937,1200.0,10800.0,1245.9326169691149
B1,2025-05-25,32617.376168692914,4354.637335910142,36972.013504603055,970.9600860488666,2902.2047645667553,19135.070094556668,15540.746131863101,1200.0,10800.0,1200.0
B1,2025-05-26,32876.349383194014,14482.741966445356,47359.09134963937,5585.123907965141,1340.144668663882,20659.53990788816,16658.91826400511,1200.0,10800.000000000002,1283.6767348714416
B1,2025-05-27,33563.41026682132,1426.1278511158841,34989.53811793721,486.62794008028715,3117.336768239594,20559.334031164577,16728.369626627606,1200.0,10800.0,1200.0
B1,2025-05-28,32978.23783966657,12667.417772969518,45645.65561263609,4669.80506111485,2629.6014276939018,19773.538001266035,16014.620277551221,1200.0,10800.0,1202.161670526967
B1,2025-05-29,32439.02279389175,16368.453086077272,48807.475879969024,5438.595868523882,958.7553733715803,18965.376551749938,15363.900510391722,1200.0,10800.0,1200.0
B1,2025-05-30,10742.158617114077,5601.738559269249,16343.897176383325,2316.2793565965767,19572.38328442951,15641.184937092166,12669.359799044652,1200.0,10800.000000000004,1200.0
B1,2025-05-31,10154.518982473208,6639.141458510603,16793.66044098381,2973.4145471477814,18311.56918903629,18847.958858788552,15266.846675618726,1200.0,10800.0,1200.0
B1,2025-06-01,35890.59602117253,77648.97138106456,113539.5674022371,20477.472712495157,0.0,22024.839845406917,17840.120274779598,1200.0,10800.000000000002,1200.0
B1,2025-06-02,37001.039918464354,63606.65486222388,100607.69478068822,15951.014128069892,253.83598552519243,20896.852340386766,16926.45039571328,1200.0,10800.0,1200.0
B1,2025-06-03,38029.18440818194,50893.8522340536,88923.03664223554,13914.33932146385,70.69240592319329,22711.303451374853,18396.15579561363,1200.0,10800.0,1200.0
B1,2025-06-04,39420.291231285504,48861.370979310355,88281.66221059587,13093.598784945638,25.54088561061144,22713.789318651226,18398.169348107494,1200.0,10800.0,1200.0
B1,2025-06-05,40768.48738016773,49946.84792055898,90715.33530072671,13280.193379732867,0.0,22267.245908304885,18036.469185726954,1200.0,10800.0,1200.0
B1,2025-06-06,12667.042357899583,42444.27159728192,55111.313955181504,13073.195107277312,7346.866486354673,13801.287988867922,11179.04327098302,1200.0,10800.0,1200.0
B1,2025-06-07,13332.659746533085,28355.42404435558,41688.08379088867,9158.74301649964,4243.620806260595,15401.688278685706,12466.575703520328,1200.0,10800.0,1209.768669127881
B1,2025-06-08,51266.80530076757,1720.8672629384328,52987.672563706,481.1900553641218,8772.729634893432,17478.844119231428,13993.924376925634,1209.768669127881,10800.0,1391.923513185465
B1,2025-06-09,52437.252236595676,5495.56464189538,57932.81687849106,1359.6083928316807,3842.554579506474,21066.33505763023,17236.462558547402,1200.0,10800.0,1200.0
B1,2025-06-10,52573.53289549234,2618.411113130922,55191.944008623264,811.2216862839546,2900.3507204474386,22134.3424003116,17921.709524803435,1200.0,10800.0,1207.8975771655153
B1,2025-06-11,52310.88030818177,21761.666885543073,74072.54719372484,4702.189893837512,2365.1889811784886,23759.28545579695,19215.796598528766,1200.0,10800.0,1240.369377906366
B1,2025-06-12,53099.07274600211,6121.231195310217,59220.303941312326,1535.8898641700375,3301.7794481131,21994.46364633274,17820.51655624988,1234.8127082170793,10800.0,1234.8127082170795
B1,2025-06-13,18168.768884203542,1411.7727758944636,19580.541660098002,672.5778553904275,5490.97923561181,14243.352432695816,11299.446326431073,1200.0,10800.000000000002,1498.8895349421246
B1,2025-06-14,18317.170015575397,2321.0430146468034,20638.213030222203,1319.0418927582218,8591.528971874159,16247.177196219642,13376.07332082861,1200.0,10800.0,1259.0453217302356
B1,2025-06-15,52903.24538542284,1841.0714133312906,54744.316798754124,492.2635295527953,4014.1948397025794,21131.1944613212,16902.0022423325,1259.0453217302356,10800.0,1497.1178454387618
B1,2025-06-16,54222.50986339231,3974.611011526116,58197.12087491842,1068.3926911107046,4041.1158982317506,21530.09652695391,17706.784247727548,1200.0,10800.0,1200.0
B1,2025-06-17,53081.312316044714,11834.780426310146,64916.09274235486,2688.539833450017,2450.120439563999,22841.27845063906,18497.861791218198,1200.0,10800.0,1203.9708375549335
B1,2025-06-18,53402.84113146578,3340.8857636016514,56743.726895067426,864.4376489182496,4505.423968076641,19632.451582974856,15660.65928369014,1203.9708375549335,10800.0,1472.4447247988146
B1,2025-06-19,51633.25638657404,3623.1984883776613,55256.4548749517,960.740043366498,5998.822518166375,19967.79390542342,16419.113315711907,1200.0,10800.0,1200.0
B1,2025-06-20,17397.624854746227,601.2925977310663,17998.917452477293,257.0512984543989,9411.564071842851,14964.590623077433,11621.431329887162,1200.0,10800.000000000002,1755.4300831172902
B1,2025-06-21,16918.367026964057,795.9933788468813,17714.360405810938,408.691905643522,13234.08794017947,14516.435596235217,12206.56994503065,1200.0,10800.000000000002,1257.3666252504847
B1,2025-06-22,49266.87105202726,5870.233721529464,55137.10477355672,1581.7392880918405,4196.002353359108,21702.159414006917,17630.37908807104,1200.0,10800.0,1200.0
B1,2025-06-23,49974.92494979678,4094.305103274155,54069.23005307093,1097.0000360184772,5271.846460895105,21342.450010242377,17159.89257137542,1341.657707689902,10800.0,1341.657707689902
B1,2025-06-24,49585.5816941538,37278.90220153316,86864.48389568695,10116.272812438583,1636.64572022568,24512.015310684295,19738.45070074848,1200.0,10800.0,1470.8595975852386
B1,2025-06-25,48956.82967566504,10228.265171214045,59185.09484687908,2926.765061067924,2381.048445314461,20048.36047446666,16429.116236412057,1259.8104285918396,10800.0,1259.81042859184
B1,2025-06-26,48525.89339743981,7075.563814960157,55601.45721239997,1987.1803874275165,4359.694738291905,22563.017216513417,18329.873331108523,1200.0,10800.0,1200.0
B1,2025-06-27,15941.483976085989,701.664122048785,16643.148098134774,361.99547261928404,10926.564555750167,13798.788172311117,11024.693067466074,1200.0,10800.000000000004,1369.2503912288105
B1,2025-06-28,15748.090792334602,1965.5631758172692,17713.65396815187,733.4590189654518,9224.496406721688,14001.483703703703,11475.907718249688,1200.0,10800.000000000004,1219.5771487291593
B1,2025-06-29,48448.505026293504,9309.402990340663,57757.90801663417,2620.359471495821,2317.150490051814,20247.154760786347,16417.814790093187,1200.0,10800.0,1200.0
B1,2025-06-30,50136.65131130843,6640.86666669934,56777.517978007774,1834.6052695541805,3965.713170310339,21197.86221669174,17170.268395520314,1200.0,10800.0,1200.0
B1,2025-07-01,54018.20685470686,34951.65939189693,88969.8662466038,8464.873979610446,504.6509303388254,22278.90298970195,18045.911421658584,1200.0,10800.0,1200.0
B1,2025-07-02,52337.26030412139,33972.31306736146,86309.57337148285,7963.671161657677,4343.352266279177,18897.6969043329,15307.13449250965,1200.0,10800.0,1200.0
B1,2025-07-03,50918.73792990719,59060.13347160069,109978.87140150787,14554.531696494436,0.0,21319.899806336653,17269.118843132692,1200.0,10800.0,1200.0
B1,2025-07-04,17868.794606885414,32182.524818035214,50051.31942492063,9242.777570867103,10263.780654731043,13883.465631491308,11245.607161507965,1200.0,10800.0,1200.0
B1,2025-07-05,17320.506207666975,35733.91735542381,53054.42356309078,10415.997493706462,11626.904472587095,14862.990009672832,12039.021907834998,1200.0,10800.0,1200.0
B1,2025-07-06,48052.473951198255,76036.0016225011,124088.47557369935,18614.164799045633,0.0,23738.46320859581,19228.155198962606,1200.0,10800.000000000002,1200.0
B1,2025-07-07,50507.54796656374,31817.957422081672,82325.50538864541,7952.65225772775,466.5734215632702,19435.205190444398,15742.516204259962,1200.0,10800.0,1200.0
B1,2025-07-08,62792.84169152312,3928.4218283349715,66721.26351985808,1045.1545249932924,5916.912997793958,21794.626214189022,17267.613447220665,1200.0,10800.0,1628.9264291916006
B1,2025-07-09,61608.53865177256,3016.4190583461095,64624.957710118666,784.4819896932592,6095.53529297909,20231.830325250725,16236.235232607361,1628.9264291915988,10800.0,1797.3123523535132
B1,2025-07-10,59580.30748268695,3137.0482311383257,62717.35571382527,802.4331274629756,4790.832886800152,20448.61717573878,17100.961029466576,1200.0,10800.0,1200.0
B1,2025-07-11,26443.943907245193,3169.283711409569,29613.227618654764,1546.348697913337,10566.919249984994,13549.773936437909,10291.531407811974,1200.0,10800.0,1959.761645225261
B1,2025-07-12,24704.024012725753,1095.467527970906,25799.49154069666,389.9184730180952,10391.03043091183,14032.60970541276,12024.203329965001,1200.0,10800.0,1228.884457913406
B1,2025-07-13,57254.16365715574,3285.698629221643,60539.86228637738,606.9122652271035,7325.15140796902,20318.06889781268,16158.753042044986,1228.8844579134038,10800.0,1560.9764192281652
B1,2025-07-14,60399.584693718905,1317.2643461674002,61716.84903988631,229.77970082497103,8433.591118582612,19524.890572061347,16140.040140675039,1200.0,10800.0,1200.0
