date,policy,initial_soc_kwh,terminal_soc_kwh,expected_scenario_emergency_cost_yuan,planning_scenario_emergency_cvar95_yuan,max_planning_residual
2025-02-08,B4,1234.7468979261296,1233.7379144590336,2006.6741430818035,14252.689552910357,1.8189894035458565e-12
2025-02-09,B1,1233.7379144590334,1200.0,,,0.0
2025-02-09,B3,1234.0378295826915,1200.0,5658.311048371936,,2.7966962079517543e-11
2025-02-09,B4,1233.7379144590336,1200.0,3924.207149079616,32997.27998918738,1.8189894035458565e-12
2025-02-10,B1,1200.0,1200.0,,,0.0
2025-02-10,B3,1200.0,1200.0,5907.566322263728,,5.3432813729159526e-12
2025-02-10,B4,1200.0,1200.0,3348.0658695885163,24967.88061071307,1.8189894035458565e-12
2025-02-11,B1,1200.0,1200.0,,,0.0
2025-02-11,B3,1200.0,1200.0,4767.196660196716,,6.480149750132114e-12
2025-02-11,B4,1200.0,1200.0,1161.9699801203192,11488.354373916083,1.8189894035458565e-12
2025-02-12,B1,1200.0,1200.0,,,0.0
2025-02-12,B3,1200.0,1200.0,5969.255345310759,,1.6370904631912708e-11
2025-02-12,B4,1200.0,1200.0,3480.156070082708,27468.356075139985,1.8189894035458565e-12
2025-02-13,B1,1200.0,1200.0,,,0.0
2025-02-13,B3,1200.0,1200.0,5780.135660321265,,1.8189894035458565e-12
2025-02-13,B4,1200.0,1201.0511785448505,3149.208844444433,23673.78009804428,1.8189894035458565e-12
2025-02-14,B1,1200.0,1200.0,,,0.0
2025-02-14,B3,1200.0,1200.0,3097.0124371467564,,1.8189894035458565e-12
2025-02-14,B4,1201.0511785448505,1201.135707273449,1440.9486602695308,11134.698505977904,1.8189894035458565e-12
2025-02-15,B1,1200.0,1200.0,,,0.0
2025-02-15,B3,1200.0,1200.0,3349.500613974562,,8.412825991399586e-12
2025-02-15,B4,1201.135707273449,1200.0,1558.491960848983,11793.380746333967,1.8189894035458565e-12
2025-02-16,B1,1200.0,1200.0,,,0.0
2025-02-16,B3,1200.0,1200.0,4953.188201471622,,3.637978807091713e-12
2025-02-16,B4,1200.0,1200.0,1040.0825920734153,10299.49524546317,9.094947017729282e-13
2025-02-17,B1,1200.0,1223.123077096619,,,0.0
2025-02-17,B3,1200.0,1236.0657559315896,4653.737077961859,,2.103206497849897e-11
2025-02-17,B4,1200.0,1233.9580482733704,4138.7188273726615,43488.55592904523,1.8189894035458565e-12
2025-02-18,B1,1223.123077096619,1200.0,,,0.0
2025-02-18,B3,1236.0657559315896,1200.0,4696.474336490682,,1.3642420526593924e-12
2025-02-18,B4,1233.9580482733704,1200.0,967.9149368913272,10352.185561158483,1.8189894035458565e-12
2025-02-19,B1,1200.0,1200.0,,,0.0
2025-02-19,B3,1200.0,1200.0,6095.266883363447,,2.160049916710705e-12
2025-02-19,B4,1200.0,1200.0,3521.9000561430857,29091.046335594543,1.8189894035458565e-12
2025-02-20,B1,1200.0,1200.0,,,0.0
2025-02-20,B3,1200.0,1200.0,5715.411965989982,,1.8189894035458565e-12
2025-02-20,B4,1200.0,1200.0,3724.759847825304,30451.670620487293,1.8189894035458565e-12
2025-02-21,B1,1200.0,1200.0,,,0.0
2025-02-21,B3,1200.0,1200.0,1193.8611957764049,,1.8189894035458565e-12
2025-02-21,B4,1200.0,1200.0,1127.5396429612688,20974.033683429177,1.8189894035458565e-12
2025-02-22,B1,1200.0,1200.0,,,0.0
2025-02-22,B3,1200.0,1200.0,1078.7180838959832,,1.8189894035458565e-12
2025-02-22,B4,1200.0,1200.0,963.028538434154,18693.478139801387,1.8189894035458565e-12
2025-02-23,B1,1200.0,1200.0,,,0.0
2025-02-23,B3,1200.0,1200.0,4212.276647708152,,5.4569682106375694e-12
2025-02-23,B4,1200.0,1200.0,3724.798397049538,40185.82792387797,1.8189894035458565e-12
2025-02-24,B1,1200.0,1223.5205972345689,,,0.0
2025-02-24,B3,1200.0,1207.4590426623763,6221.172931314555,,3.2741809263825417e-11
2025-02-24,B4,1200.0,1207.459042662377,3504.2334131822377,27302.716895311514,1.8189894035458565e-12
2025-02-25,B1,1223.5205972345689,1200.0,,,0.0
2025-02-25,B3,1207.4590426623763,1208.03115125743,3967.2334470171672,,1.091393642127514e-11
2025-02-25,B4,1207.459042662377,1200.0,3342.261790448682,35046.73104980039,1.8189894035458565e-12
2025-02-26,B1,1200.0,1200.0,,,0.0
2025-02-26,B3,1208.03115125743,1234.993275113478,2922.8928331146703,,4.888534022029489e-12
2025-02-26,B4,1200.0,1209.7774597195396,2310.2079257276146,40668.32158902543,1.8189894035458565e-12
2025-02-27,B1,1200.0,1200.0,,,0.0
2025-02-27,B3,1234.993275113478,1230.5428119220526,4852.300396998569,,4.206412995699793e-11
2025-02-27,B4,1209.7774597195396,1230.048967292904,4125.284569894865,40464.039820003294,1.8189894035458565e-12
2025-02-28,B1,1200.0,1200.0,,,0.0
2025-02-28,B3,1230.5428119220526,1227.5317505583591,1132.862418662415,,1.8189894035458565e-12
2025-02-28,B4,1230.048967292904,1222.4863047016663,1077.1786687488063,19928.703371820196,1.8189894035458565e-12
2025-03-01,B1,1200.0,1237.6879260644062,,,0.0
2025-03-01,B3,1227.5317505583591,1261.288503609844,1110.6555733483567,,1.8189894035458565e-12
2025-03-01,B4,1222.4863047016663,1254.60667721882,1054.7370632810162,19323.404775839062,1.8189894035458565e-12
2025-03-02,B1,1237.6879260644062,1200.0,,,0.0
2025-03-02,B3,1261.288503609844,1200.0,2919.490508117518,,7.048583938740194e-12
2025-03-02,B4,1254.60667721882,1200.0,2469.5720358226536,38448.987111570204,1.8189894035458565e-12
2025-03-03,B1,1200.0,1200.0,,,0.0
2025-03-03,B3,1200.0,1200.0,352.0986804254118,,7.617018127348274e-12
2025-03-03,B4,1200.0,1200.0,178.1286584654123,3017.245864781017,1.8189894035458565e-12
2025-03-04,B1,1200.0,1200.0,,,0.0
2025-03-04,B3,1200.0,1200.0,890.1606912466727,,6.548361852765083e-11
2025-03-04,B4,1200.0,1200.0,715.6775447347181,11931.102089841048,3.637978807091713e-12
2025-03-05,B1,1200.0,1200.0,,,0.0
2025-03-05,B3,1200.0,1200.0,328.19608871471394,,2.9672264645341784e-11
2025-03-05,B4,1200.0,1200.0,161.38818077957478,2751.060367927264,1.8189894035458565e-12
2025-03-06,B1,1200.0,1200.0,,,0.0
2025-03-06,B3,1200.0,1200.0,326.16929622348835,,1.7735146684572097e-11
2025-03-06,B4,1200.0,1200.0,174.03065758315338,2905.121869559549,1.8189894035458565e-12
2025-03-07,B1,1200.0,1236.0464657120351,,,0.0
2025-03-07,B3,1200.0,1240.3424701332794,172.36090535508637,,9.77706804405898e-12
2025-03-07,B4,1200.0,1240.3424701332794,139.25169705507258,629.1921335397459,1.8189894035458565e-12
2025-03-08,B1,1236.0464657120351,1200.0,,,0.0
2025-03-08,B3,1240.3424701332794,1200.0,1792.8123437043848,,1.0572875908110289e-11
2025-03-08,B4,1240.3424701332794,1200.0,1693.4786463447908,17433.178723501507,1.8189894035458565e-12
2025-03-09,B1,1200.0,1200.0,,,0.0
2025-03-09,B3,1200.0,1200.0,5767.795458681912,,5.002220859751105e-12
2025-03-09,B4,1200.0,1200.0,2580.443638456958,21002.94303446265,1.8189894035458565e-12
2025-03-10,B1,1200.0,1238.190907966913,,,0.0
2025-03-10,B3,1200.0,1230.1528317482764,902.3941561002626,,3.092281986027956e-11
2025-03-10,B4,1200.0,1238.1909079669126,718.551362810547,11821.919969653216,2.7284841053187847e-12
2025-03-11,B1,1238.190907966913,1200.0,,,0.0
2025-03-11,B3,1230.1528317482764,1303.5854455545082,1237.8381059391925,,2.7966962079517543e-11
2025-03-11,B4,1238.1909079669126,1292.4836144243532,1091.7752139018655,11466.736459480637,1.8189894035458565e-12
2025-03-12,B1,1200.0,1200.0,,,0.0
2025-03-12,B3,1303.5854455545082,1200.374738797408,665.8587724201052,,1.5347723092418164e-11
2025-03-12,B4,1292.4836144243532,1200.374738797408,512.1863756234237,7252.35819193723,1.8189894035458565e-12
2025-03-13,B1,1200.0,1200.0,,,0.0
2025-03-13,B3,1200.374738797408,1200.0,1206.7167169322988,,2.7284841053187847e-12
2025-03-13,B4,1200.374738797408,1200.0,1131.503440460012,12354.898630746598,3.637978807091713e-12
2025-03-14,B1,1200.0,1217.1451299431517,,,0.0
2025-03-14,B3,1200.0,1217.1451299431512,160.02427135189515,,1.8189894035458565e-12
2025-03-14,B4,1200.0,1217.1451299431512,94.68355875750837,483.10080209629183,1.8189894035458565e-12
2025-03-15,B1,1217.1451299431517,1200.0,,,0.0
2025-03-15,B3,1217.1451299431512,1200.0,1728.203295256631,,1.8189894035458565e-12
2025-03-15,B4,1217.1451299431512,1200.0,1695.7852373629864,17045.853141918054,1.8189894035458565e-12
2025-03-16,B1,1200.0,1200.0,,,0.0
2025-03-16,B3,1200.0,1200.0,2360.7377870069013,,3.8880898500792676e-11
2025-03-16,B4,1200.0,1200.0,2216.639298509537,31800.995130054373,1.8189894035458565e-12
2025-03-17,B1,1200.0,1200.0,,,0.0
2025-03-17,B3,1200.0,1200.0,1300.4964305697422,,9.77706804405898e-12
2025-03-17,B4,1200.0,1200.0,1254.8799632464288,16430.198260107743,1.8189894035458565e-12
2025-03-18,B1,1200.0,1200.0,,,0.0
2025-03-18,B3,1200.0,1200.0,1153.0235213793394,,1.2278178473934531e-11
2025-03-18,B4,1200.0,1200.0,1063.866687511047,17784.885065297727,1.8189894035458565e-12
2025-03-19,B1,1200.0,1268.19296684674,,,0.0
2025-03-19,B3,1200.0,1233.5341404840335,260.21839756960844,,9.5042196335271e-11
2025-03-19,B4,1200.0,1227.616252998865,175.7795278682814,3028.3600285230445,3.637978807091713e-12
2025-03-20,B1,1268.19296684674,1200.0,,,0.0
2025-03-20,B3,1233.5341404840335,1200.0,1677.9605733931865,,2.4897417461033907e-11
2025-03-20,B4,1227.616252998865,1200.0,1122.6788213335535,12070.599890554156,1.8189894035458565e-12
2025-03-21,B1,1200.0,1200.0,,,0.0
2025-03-21,B3,1200.0,1200.0,167.38081257545923,,1.8189894035458565e-12
2025-03-21,B4,1200.0,1200.0,121.27359740253542,562.4569626282916,3.637978807091713e-12
2025-03-22,B1,1200.0,1200.0,,,0.0
2025-03-22,B3,1200.0,1200.0,226.74390077643343,,1.8189894035458565e-12
2025-03-22,B4,1200.0,1200.0,150.51033991783285,1163.7099977124876,1.8189894035458565e-12
2025-03-23,B1,1200.0,1200.0,,,0.0
2025-03-23,B3,1200.0,1231.4274578580596,2357.982497925405,,2.034994395216927e-10
2025-03-23,B4,1200.0,1231.4274578580596,2276.937108605229,34082.88338938678,2.0463630789890885e-12
2025-03-24,B1,1200.0,1200.0,,,0.0
2025-03-24,B3,1231.4274578580596,1200.0,448.9116203574892,,1.8189894035458565e-12
2025-03-24,B4,1231.4274578580596,1200.0,299.24024166335005,3100.800145703526,1.8189894035458565e-12
2025-03-25,B1,1200.0,1200.0,,,0.0
2025-03-25,B3,1200.0,1210.227254354574,1205.3177297169514,,5.4569682106375694e-12
2025-03-25,B4,1200.0,1210.227254354574,740.473393682522,10628.77877145936,1.8189894035458565e-12
2025-03-26,B1,1200.0,1200.0,,,0.0
2025-03-26,B3,1210.227254354574,1200.0,1102.9218361376957,,1.0447820386616512e-10
2025-03-26,B4,1210.227254354574,1200.0,705.5301361703414,8011.456268411675,1.8189894035458565e-12
2025-03-27,B1,1200.0,1200.0,,,0.0
2025-03-27,B3,1200.0,1200.0,1639.3039429731268,,2.7284841053187847e-12
2025-03-27,B4,1200.0,1200.0,1017.90696457544,11001.173186481705,3.637978807091713e-12
2025-03-28,B1,1200.0,1200.0,,,0.0
2025-03-28,B3,1200.0,1200.0,167.95748190344707,,1.8189894035458565e-12
2025-03-28,B4,1200.0,1200.0,74.64785536910637,601.7787868449406,1.8189894035458565e-12
2025-03-29,B1,1200.0,1200.0385974629835,,,0.0
2025-03-29,B3,1200.0,1200.0385974629835,1031.138995761127,,1.8189894035458565e-12
2025-03-29,B4,1200.0,1205.6551411077892,930.0245409959036,16447.17997898029,1.8189894035458565e-12
2025-03-30,B1,1200.0385974629835,1200.0,,,0.0
2025-03-30,B3,1200.0385974629835,1200.0,2263.0147382974105,,9.913492249324918e-11
2025-03-30,B4,1205.6551411077892,1200.0,1845.7428630672396,30728.93625592857,1.8189894035458565e-12
2025-03-31,B1,1200.0,1262.0725583380708,,,0.0
2025-03-31,B3,1200.0,1277.224769172214,1360.557152101591,,1.1226575225009585e-11
2025-03-31,B4,1200.0,1277.224769172214,771.84327506527,9120.492619325709,1.8189894035458565e-12
2025-04-01,B1,1262.0725583380708,1200.0,,,0.0
2025-04-01,B3,1277.224769172214,1200.0,788.4766987800775,,9.549694368615746e-12
2025-04-01,B4,1277.224769172214,1200.0,491.0378445376873,7353.606830260207,2.7284841053187847e-12
2025-04-02,B1,1200.0,1200.0,,,0.0
2025-04-02,B3,1200.0,1231.094555665172,944.4896584508498,,4.888534022029489e-12
2025-04-02,B4,1200.0,1231.094555665172,398.6875301257145,5471.716134066651,3.637978807091713e-12
2025-04-03,B1,1200.0,1200.0,,,0.0
2025-04-03,B3,1231.094555665172,1200.0,1051.022112470998,,2.8535396268125623e-11
2025-04-03,B4,1231.094555665172,1200.0,632.1152436589463,5011.180696992347,1.8189894035458565e-12
2025-04-04,B1,1200.0,1200.0,,,0.0
2025-04-04,B3,1200.0,1244.6677599733116,197.30049496576655,,1.8189894035458565e-12
2025-04-04,B4,1200.0,1244.6677599733116,176.16257547682366,914.2616204267118,2.7284841053187847e-12
2025-04-05,B1,1200.0,1211.8479118815742,,,0.0
2025-04-05,B3,1244.6677599733116,1211.8479118815742,912.4806936821192,,1.8189894035458565e-12
2025-04-05,B4,1244.6677599733116,1211.8479118815742,876.7451556888938,16061.101622641005,1.8189894035458565e-12
2025-04-06,B1,1211.8479118815742,1200.0,,,0.0
2025-04-06,B3,1211.8479118815742,1201.9939948845963,2195.9551421531746,,9.322320693172514e-12
2025-04-06,B4,1211.8479118815742,1203.7870284538517,1878.103626797416,30018.18087774632,1.8189894035458565e-12
2025-04-07,B1,1200.0,1200.0,,,0.0
2025-04-07,B3,1201.9939948845963,1200.0,746.1455099744777,,3.183231456205249e-12
2025-04-07,B4,1203.7870284538517,1200.0,504.9634918962772,5524.677979512615,1.8189894035458565e-12
2025-04-08,B1,1200.0,1200.0,,,0.0
2025-04-08,B3,1200.0,1200.0,696.8270798016949,,3.637978807091713e-12
2025-04-08,B4,1200.0,1200.0,508.3346024664172,5734.0724602402215,1.8189894035458565e-12
2025-04-09,B1,1200.0,1200.0,,,0.0
2025-04-09,B3,1200.0,1200.0,945.6568020837468,,3.0013325158506625e-11
2025-04-09,B4,1200.0,1200.0,702.3996399801355,8431.886587933457,1.8189894035458565e-12
2025-04-10,B1,1200.0,1200.0,,,0.0
2025-04-10,B3,1200.0,1274.771882622737,826.7987641389784,,3.637978807091713e-12
2025-04-10,B4,1200.0,1270.910166571268,660.6281629762765,4236.107677469103,1.8189894035458565e-12
2025-04-11,B1,1200.0,1200.0,,,0.0
2025-04-11,B3,1274.771882622737,1200.0,210.8421072070027,,1.8189894035458565e-12
2025-04-11,B4,1270.910166571268,1200.0,130.14491936117648,559.6035911428452,1.8189894035458565e-12
2025-04-12,B1,1200.0,1200.0,,,0.0
2025-04-12,B3,1200.0,1200.0,756.7837284579354,,1.8189894035458565e-12
2025-04-12,B4,1200.0,1200.0,691.2774340934944,13192.295419160471,1.8189894035458565e-12
2025-04-13,B1,1200.0,1200.9614112793308,,,0.0
2025-04-13,B3,1200.0,1202.5740491417714,3140.189158097652,,3.538502824085299e-12
2025-04-13,B4,1200.0,1202.5740491417714,3045.8185812114584,30995.69036795955,1.8189894035458565e-12
2025-04-14,B1,1200.9614112793308,1200.0,,,0.0
2025-04-14,B3,1202.5740491417714,1200.0,799.6592487051892,,1.1596057447604837e-11
2025-04-14,B4,1202.5740491417714,1200.0,619.5236916056678,4103.417536871364,3.637978807091713e-12
2025-04-15,B1,1200.0,1206.054321312066,,,0.0
2025-04-15,B3,1200.0,1238.9178232702943,740.3271702033791,,1.2732925824820995e-11
2025-04-15,B4,1200.0,1238.917823270294,373.4022797470987,2720.541255050378,1.8189894035458565e-12
2025-04-16,B1,1206.054321312066,1200.0,,,0.0
2025-04-16,B3,1238.9178232702943,1200.0,582.2207542495736,,1.2278178473934531e-11
2025-04-16,B4,1238.917823270294,1200.0,548.1290284366781,5442.570608409089,1.8189894035458565e-12
2025-04-17,B1,1200.0,1200.0,,,0.0
2025-04-17,B3,1200.0,1200.0,805.4762465733929,,1.9895196601282805e-11
2025-04-17,B4,1200.0,1200.0,577.70263028466,5972.381264896021,1.8189894035458565e-12
2025-04-18,B1,1200.0,1200.0,,,0.0
2025-04-18,B3,1200.0,1256.484575359526,192.21583254277695,,1.8189894035458565e-12
2025-04-18,B4,1200.0,1268.3766226955909,157.5619945003894,643.684900724511,1.8189894035458565e-12
2025-04-19,B1,1200.0,1200.0,,,0.0
2025-04-19,B3,1256.484575359526,1200.0,91.9194102517167,,1.8189894035458565e-12
2025-04-19,B4,1268.3766226955909,1200.0,87.46567054473714,631.8851568187993,1.8189894035458565e-12
2025-04-20,B1,1200.0,1200.0,,,0.0
2025-04-20,B3,1200.0,1200.0,2655.9714112248766,,2.5465851649641987e-11
2025-04-20,B4,1200.0,1200.0,1927.3174006840704,30954.819832021065,1.8189894035458565e-12
2025-04-21,B1,1200.0,1200.0,,,0.0
2025-04-21,B3,1200.0,1201.753728419599,850.8768055072535,,1.8189894035458565e-12
2025-04-21,B4,1200.0,1200.0,694.2248967378406,5470.655312247633,5.4569682106375694e-12
2025-04-22,B1,1200.0,1200.0,,,0.0
2025-04-22,B3,1201.753728419599,1200.0,677.2016563220053,,1.0118128557223828e-11
2025-04-22,B4,1200.0,1200.0,259.9220702059066,2247.410187806044,1.8189894035458565e-12
2025-04-23,B1,1200.0,1200.0,,,0.0
2025-04-23,B3,1200.0,1233.8251633904626,667.8570748092924,,6.195932655828074e-12
2025-04-23,B4,1200.0,1233.8251633904626,469.2433297520341,5072.871768044236,1.8189894035458565e-12
2025-04-24,B1,1200.0,1200.0,,,0.0
2025-04-24,B3,1233.8251633904626,1200.0,581.6759444169827,,1.148237060988322e-11
2025-04-24,B4,1233.8251633904626,1200.0,472.852114815144,6161.492433710637,1.8189894035458565e-12
2025-04-25,B1,1200.0,1200.0,,,0.0
2025-04-25,B3,1200.0,1200.0,137.013401687036,,9.094947017729282e-13
2025-04-25,B4,1200.0,1200.0,103.71680485211776,755.5408922198379,1.8189894035458565e-12
2025-04-26,B1,1200.0,1205.851168139625,,,0.0
2025-04-26,B3,1200.0,1205.851168139625,1458.0283170513594,,1.8189894035458565e-12
2025-04-26,B4,1200.0,1205.851168139625,1362.1536603957973,14198.526844712129,2.273736754432321e-12
2025-04-27,B1,1205.851168139625,1200.0,,,0.0
2025-04-27,B3,1205.851168139625,1200.0,1920.055054502004,,7.332801033044234e-12
2025-04-27,B4,1205.851168139625,1200.0,1729.147091722721,28867.84908723428,3.637978807091713e-12
2025-04-28,B1,1200.0,1200.0,,,0.0
2025-04-28,B3,1200.0,1219.668444755117,852.8118498770189,,1.0231815394945444e-11
2025-04-28,B4,1200.0,1213.5230928360395,609.1185864460058,6620.519945038649,1.8189894035458565e-12
2025-04-29,B1,1200.0,1200.0,,,0.0
2025-04-29,B3,1219.668444755117,1200.0,761.1931564708998,,1.9099388737231493e-11
2025-04-29,B4,1213.5230928360395,1200.0,403.6746343285074,3263.296802581462,6.366462912410498e-12
2025-04-30,B1,1200.0,1200.0,,,0.0
2025-04-30,B3,1200.0,1200.0,1224.9214351890166,,4.7634785005357116e-11
2025-04-30,B4,1200.0,1200.0,559.1999986005789,4917.139250575077,3.637978807091713e-12
2025-05-01,B1,1200.0,1200.0,,,0.0
2025-05-01,B3,1200.0,1200.0,991.5081769168112,,1.0231815394945444e-11
2025-05-01,B4,1200.0,1200.0,427.5513869225389,6605.486972886885,3.637978807091713e-12
2025-05-02,B1,1200.0,1200.0,,,0.0
2025-05-02,B3,1200.0,1200.0,176.01136468850885,,1.8189894035458565e-12
2025-05-02,B4,1200.0,1200.0,159.9721402123776,669.029267706247,1.8189894035458565e-12
2025-05-03,B1,1200.0,1200.0,,,0.0
2025-05-03,B3,1200.0,1200.0,908.7817912847514,,1.8189894035458565e-12
2025-05-03,B4,1200.0,1200.0,832.813760183041,15985.077914735484,1.8189894035458565e-12
2025-05-04,B1,1200.0,1200.0,,,0.0
2025-05-04,B3,1200.0,1200.0,1379.815742267813,,5.650235834764317e-11
2025-05-04,B4,1200.0,1200.0,606.1258080780212,7637.220718620161,1.8189894035458565e-12
2025-05-05,B1,1200.0,1200.0,,,0.0
2025-05-05,B3,1200.0,1200.0,1953.7246208499157,,8.071765478234738e-12
2025-05-05,B4,1200.0,1200.0,1899.0853961280636,12887.760507238205,1.8189894035458565e-12
2025-05-06,B1,1200.0,1200.0,,,0.0
2025-05-06,B3,1200.0,1200.0,2537.778269969704,,3.3935521059902385e-11
2025-05-06,B4,1200.0,1200.0,2155.2653769931294,23163.95782752852,1.8189894035458565e-12
2025-05-07,B1,1200.0,1200.0,,,0.0
2025-05-07,B3,1200.0,1210.5064271983092,2174.102354051626,,6.821210263296962e-12
2025-05-07,B4,1200.0,1200.0,1658.0782401809622,20507.240964143435,7.275957614183426e-12
2025-05-08,B1,1200.0,1200.0,,,0.0
2025-05-08,B3,1210.5064271983092,1210.209978892206,2014.095813531582,,8.697043085703626e-12
2025-05-08,B4,1200.0,1200.0,1681.4830586206476,20288.19775038658,1.8189894035458565e-12
2025-05-09,B1,1200.0,1200.0,,,0.0
2025-05-09,B3,1210.209978892206,1245.470703322684,882.0927246636978,,1.8189894035458565e-12
2025-05-09,B4,1200.0,1214.6446932471586,287.7533222212878,2239.1211961250124,1.8189894035458565e-12
2025-05-10,B1,1200.0,1209.6562202978532,,,0.0
2025-05-10,B3,1245.470703322684,1224.6695002387116,2019.351005912957,,1.8189894035458565e-12
2025-05-10,B4,1214.6446932471586,1225.5864383156122,765.5963956701614,7727.58297509674,1.8189894035458565e-12
2025-05-11,B1,1209.6562202978532,1200.0,,,0.0
2025-05-11,B3,1224.6695002387116,1200.0,1192.076592299911,,7.776179700158535e-11
2025-05-11,B4,1225.5864383156122,1200.0,1092.1772486487218,14008.617659914386,1.8189894035458565e-12
2025-05-12,B1,1200.0,1200.0,,,0.0
2025-05-12,B3,1200.0,1245.470703322684,1209.2760848740754,,6.707523425575346e-12
2025-05-12,B4,1200.0,1245.470703322684,910.2505450514658,9387.35050403964,1.8189894035458565e-12
2025-05-13,B1,1200.0,1254.2214729008792,,,0.0
2025-05-13,B3,1245.470703322684,1293.061488303491,1523.839880580994,,9.890754881780596e-12
2025-05-13,B4,1245.470703322684,1234.8227580203295,952.51314376293,5689.433922639265,1.8189894035458565e-12
2025-05-14,B1,1254.2214729008792,1200.0,,,0.0
2025-05-14,B3,1293.061488303491,1200.0,2422.695199222644,,1.0459189070388676e-11
2025-05-14,B4,1234.8227580203295,1200.0,1656.9571453789113,20122.867169866604,1.8189894035458565e-12
2025-05-15,B1,1200.0,1234.4816102210937,,,0.0
2025-05-15,B3,1200.0,1250.411828238853,2452.0796158753687,,8.128608897095546e-12
2025-05-15,B4,1200.0,1250.3734497759815,1671.2467049645572,20820.31693214087,1.8189894035458565e-12
2025-05-16,B1,1234.4816102210937,1200.0,,,0.0
2025-05-16,B3,1250.411828238853,1200.0,956.1338761116888,,9.094947017729282e-13
2025-05-16,B4,1250.3734497759815,1200.0,256.5744551022059,2275.8794725012963,1.8189894035458565e-12
2025-05-17,B1,1200.0,1200.0,,,0.0
2025-05-17,B3,1200.0,1200.0,2052.1666699526186,,1.8189894035458565e-12
2025-05-17,B4,1200.0,1200.0,869.0326037908221,7152.592561273185,1.8189894035458565e-12
2025-05-18,B1,1200.0,1200.0,,,0.0
2025-05-18,B3,1200.0,1224.1348056719758,2632.176064248787,,2.432898327242583e-11
2025-05-18,B4,1200.0,1219.576872588306,1769.5843873122296,25146.350000318955,1.8189894035458565e-12
2025-05-19,B1,1200.0,1200.0,,,0.0
2025-05-19,B3,1224.1348056719758,1200.0,1734.216843474844,,3.950617610826157e-12
2025-05-19,B4,1219.576872588306,1200.0,1407.2046836941306,9637.40538667851,1.8189894035458565e-12
2025-05-20,B1,1200.0,1200.0,,,0.0
2025-05-20,B3,1200.0,1200.0,1729.034635152699,,9.094947017729282e-12
2025-05-20,B4,1200.0,1200.0,1097.6933589247124,9085.698340606708,1.8189894035458565e-12
2025-05-21,B1,1200.0,1200.0,,,0.0
2025-05-21,B3,1200.0,1200.0,2593.303974466982,,1.3244516594568267e-11
2025-05-21,B4,1200.0,1200.0,1086.174731849096,6858.850607187033,1.8189894035458565e-12
2025-05-22,B1,1200.0,1200.0,,,0.0
2025-05-22,B3,1200.0,1203.4745065186517,2157.9036224651068,,1.1300471669528632e-10
2025-05-22,B4,1200.0,1238.9533618437445,1787.4545984282177,22231.637178601733,1.8189894035458565e-12
2025-05-23,B1,1200.0,1200.0,,,0.0
2025-05-23,B3,1203.4745065186517,1242.2333720712309,141.2569974727351,,1.8189894035458565e-12
2025-05-23,B4,1238.9533618437445,1233.1980172182723,127.85000290453358,598.1758081928766,1.8189894035458565e-12
2025-05-24,B1,1200.0,1245.9326169691149,,,0.0
2025-05-24,B3,1242.2333720712309,1245.9326169691149,1418.2575431200526,,1.8189894035458565e-12
2025-05-24,B4,1233.1980172182723,1245.9326169691149,589.7669282789591,5292.856776905956,1.8189894035458565e-12
