policy,date,original_plan_cost_yuan,final_non_emergency_cost_yuan,adjustment_net_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_purchase_kwh,remaining_energy_kwh,charge_kwh,discharge_kwh,soc_min_kwh,soc_max_kwh,terminal_soc_kwh
C0,2025-02-25,55413.559732140035,55413.559732140035,0.0,2711.5167603144037,58125.076492454435,640.4620057435516,13874.12342129282,16511.1471617016,13377.427477469673,1200.0,9063.301833176303,1200.0
C0,2025-02-26,46651.13680385418,46651.13680385418,0.0,12526.01805944602,59177.154863300195,2977.7232431488087,1652.4638310594235,22560.654428326463,18265.33037319685,1200.0,10146.200782583606,1209.7774597195391
C0,2025-02-27,47046.27213191164,47046.27213191164,0.0,11814.500138732543,58860.77227064418,2610.642081239301,5032.165280426917,21187.734622628464,17154.881970258815,1200.0,10052.496632315098,1217.7586531309207
C0,2025-02-28,13953.388700604195,13953.388700604195,0.0,3409.385796005695,17362.77449660989,1267.5167104185496,9061.961456947407,18088.76417362419,14664.485023003188,1200.0,10366.268236809688,1203.7741616113656
C0,2025-03-01,18679.41332163656,18679.41332163656,0.0,1260.0689682949976,19939.48228993156,278.53202657491755,18580.123302678552,16341.11285184085,13205.779021983353,1203.7741616113656,9356.32687037037,1237.6879260644064
C0,2025-03-02,61677.80541137737,61677.80541137737,0.0,2761.2288950128236,64439.03430639019,532.1223071014293,15219.725224798874,21387.2040783237,17357.55443690016,1200.0,9050.926669382674,1200.0
C0,2025-03-03,59025.21913818932,59025.21913818932,0.0,5030.927123467503,64056.146261656824,1090.8765842261278,11172.38736741237,18518.954866708355,15000.353442033764,1200.0,8753.76561081626,1200.0
C0,2025-03-04,49217.21933899336,49217.21933899336,0.0,5530.219530097563,54747.438869090925,1491.777290991752,3432.1619727916004,22025.417346619695,17840.588050761955,1200.0,10371.626619936362,1200.0
C0,2025-03-05,54304.436376077094,54304.436376077094,0.0,1820.0588016118227,56124.495177688914,324.31083788222753,13218.789181450418,17113.14210304656,13861.645103467714,1200.0,9174.378116583925,1200.0
C0,2025-03-06,47803.388102392964,47803.388102392964,0.0,3353.536229048347,51156.92433144131,903.9785215945776,5292.658409866312,21597.72084118715,17494.15388136159,1200.0,10074.42005570858,1200.0
C0,2025-03-07,14348.319576044005,14348.319576044005,0.0,102.16086739520074,14450.480443439206,61.59573034206443,10906.372266226075,17278.805833140148,13973.62084745673,1200.0,10481.013840200285,1224.6798637630989
C0,2025-03-08,15909.55284437067,15909.55284437067,0.0,2911.9291896260947,18821.482033996763,1268.2327063985128,16418.610288611027,16411.46795860293,13315.500923855161,1200.0,9320.209559910654,1200.0
C0,2025-03-09,47501.134985514334,47501.134985514334,0.0,5093.586080404594,52594.72106591893,1309.2496774056526,9707.785911159883,20971.907518712535,16987.24509015715,1200.0,10491.314541919388,1200.0
C0,2025-03-10,48173.34873574601,48173.34873574601,0.0,11434.174794467346,59607.52353021336,2551.288150676539,4173.933617482752,21660.92409762566,17510.976701906562,1200.0,10013.07472229788,1238.1909079669126
C0,2025-03-11,39914.267819940476,39914.267819940476,0.0,25602.080970231986,65516.34879017246,7432.677899870382,2118.802358507569,20649.73552224278,16722.229584535362,1200.0,10196.353537953462,1242.6977840572397
C0,2025-03-12,47246.16045559674,47246.16045559674,0.0,3320.9077282319167,50567.06818382866,970.1381053149555,9640.020808614487,21444.98226111603,17408.863637155504,1200.0,10499.405811087554,1200.0
C0,2025-03-13,44436.23669655159,44436.23669655159,0.0,10888.015217450858,55324.25191400245,2746.0378601926423,798.6226708608896,20102.286292679884,16282.851897070701,1200.0,10567.363422194963,1200.0
C0,2025-03-14,11711.841271811,11711.841271811,0.0,5622.647650894569,17334.48892270557,2382.283897322923,13679.069599071583,18639.004108902955,15086.299391654444,1200.0,10358.809850657355,1212.5488183966118
C0,2025-03-15,12255.480101575353,12255.480101575353,0.0,5744.068546931903,17999.548648507254,1955.3276371433137,8453.632689405145,17689.561435294738,14339.838699145692,1200.0,10431.315531760049,1200.0
C0,2025-03-16,44428.88919521214,44428.88919521214,0.0,5004.883296096706,49433.772491308846,1559.0998887746837,4007.8279517817955,21458.139303132975,17381.09283553771,1200.0,10194.641972031672,1200.0
C0,2025-03-17,39777.10372563275,39777.10372563275,0.0,6814.221762143041,46591.325487775786,1644.7766598390526,6161.606439318113,19695.563980851668,15953.406824489859,1200.0,10306.464101243371,1200.0
C0,2025-03-18,45982.71043537443,45982.71043537443,0.0,1313.4727323063942,47296.18316768082,483.8526132905921,9073.202227183361,19054.495786155916,15434.141586786296,1200.0,10290.768000515083,1200.0
C0,2025-03-19,37525.551397216725,37525.551397216725,0.0,16016.179570297729,53541.73096751446,5110.429763023816,2097.8012608481536,21797.311533853586,17645.78900900155,1200.0,10483.828772679415,1211.1481482442769
C0,2025-03-20,44029.38011054735,44029.38011054735,0.0,9481.914438503685,53511.29454905103,2375.397889466179,6669.649876082546,20611.87039267903,16705.64835148986,1200.0,10563.144739699495,1200.0
C0,2025-03-21,11785.953329854387,11785.953329854387,0.0,2842.621869379862,14628.575199234248,1153.3948719983443,16128.612257286251,17557.478918399334,14221.557923903454,1200.0,10471.976897340151,1200.0
C0,2025-03-22,12497.114269531763,12497.114269531763,0.0,735.141223465247,13232.25549299701,447.5229231172997,13025.063868608413,17546.78674115326,14212.89726033414,1200.0,10402.069554057383,1200.0
C0,2025-03-23,43023.17398876994,43023.17398876994,0.0,4918.220030252655,47941.39401902259,1171.191955956047,8835.336923333674,19840.677973640253,16026.656728446427,1200.0,10237.36574414695,1249.2138113357507
C0,2025-03-24,41457.10268816259,41457.10268816259,0.0,1770.4231147960306,43227.52580295862,660.7215391008331,6358.004548808071,21541.9430514135,17493.266301847107,1200.0,10196.763084878718,1200.0
C0,2025-03-25,45355.38026623317,45355.38026623317,0.0,2329.341094874095,47684.72136110727,766.3307644765405,9908.922038905208,19074.53951240914,15450.3770050514,1200.0,10339.889360349276,1200.0
C0,2025-03-26,39069.59058428467,39069.59058428467,0.0,7816.306127176253,46885.89671146092,1918.4140044222015,6086.373007835397,20336.221631346267,16472.339521390488,1200.0,10535.439319142994,1200.0
C0,2025-03-27,40855.014597667985,40855.014597667985,0.0,2651.747992526461,43506.76259019445,982.9193208969916,5514.265757519684,20154.423265031783,16324.773103079686,1199.9999999999998,10151.027812760884,1200.344157328956
C0,2025-03-28,11904.840615540183,11904.840615540183,0.0,2810.1523121867763,14714.992927726958,1471.6309496496847,18289.25777261134,17477.860396915385,14157.376663097535,1200.0,10584.588551084367,1200.0
C0,2025-03-29,11044.341012655545,11044.341012655545,0.0,4923.226499727949,15967.567512383494,1867.803852999657,19799.104308061378,15374.179080923497,12453.05031783135,1200.0,10256.859872548328,1200.0385974629835
C0,2025-03-30,38767.66367247842,38767.66367247842,0.0,1734.4051448810458,40502.06881735946,633.7977617713872,6145.69112790824,20161.378231299354,16330.751105069165,1200.0,10431.844987377606,1200.0
C0,2025-03-31,36504.77800730375,36504.77800730375,0.0,13568.529948565245,50073.30795586899,4043.8125977816494,3200.274494982325,20465.945540829263,16505.775048395328,1200.0,10365.473408603124,1279.60093297375
C0,2025-04-01,42860.987960575345,42860.987960575345,0.0,5357.413763419647,48218.40172399499,1540.8642127302078,7794.60516364626,18847.832235717746,15311.249000027627,1200.0,10433.668024274271,1230.1510562001374
C0,2025-04-02,40860.85657808462,40860.85657808462,0.0,5698.785815727099,46559.642393811715,1653.711788082371,4151.768940016111,18267.658418829094,14796.180539791674,1200.0,10263.585009532557,1230.8430333778024
C0,2025-04-03,42173.89391865736,42173.89391865736,0.0,2857.5235865554464,45031.417505212805,780.7884203208466,9720.66661394199,20126.067655464452,16329.873530966226,1200.0,10253.984870264032,1200.0
C0,2025-04-04,10984.313807075196,10984.313807075196,0.0,1546.9035887543564,12531.217395829552,690.3202771400582,19904.6863566422,14716.748810898132,11901.9518922336,1200.0,10423.829382355883,1220.682938437659
C0,2025-04-05,10901.42182922861,10901.42182922861,0.0,10732.595197899764,21634.01702712837,4422.64501138844,17463.65861218851,14423.110799353064,11690.67127137646,1200.0,10321.523581933236,1211.8479118815742
C0,2025-04-06,38956.54423240206,38956.54423240206,0.0,4591.559141412803,43548.10337381487,1157.257683338843,8148.466880849291,18858.81233043712,15284.971785651991,1200.0,10398.740186650954,1201.4770252172111
C0,2025-04-07,34420.3669503085,34420.3669503085,0.0,14429.753893588486,48850.120843896984,4418.494839357404,4906.990470964566,20593.232260880766,16681.84745400891,1200.0,10304.083268134342,1200.0
C0,2025-04-08,41390.66147419883,41390.66147419883,0.0,2292.6637396094934,43683.325213808326,520.3928316785363,11371.504223301148,19603.492328894812,15878.8287864048,1200.0,10258.354056848942,1200.0
C0,2025-04-09,39502.52616299798,39502.52616299798,0.0,6302.5368134524515,45805.062976450434,2055.7601907711382,4273.900031322073,20368.40974876679,16498.4118965011,1200.0,10333.97739499492,1200.0
C0,2025-04-10,37496.1410591881,37496.1410591881,0.0,5103.732077979635,42599.873137167735,1510.662600645059,4713.081926320801,20088.62487112998,16246.669354765107,1199.9999999999998,10401.679165522226,1227.9075453890705
C0,2025-04-11,10397.478510803096,10397.478510803096,0.0,6151.951129911442,16549.429640714538,2489.3258678185125,21508.315627083382,15968.455325722263,12959.565604685195,1200.0,10356.20952173552,1200.0
C0,2025-04-12,10800.095516198111,10800.095516198111,0.0,747.095577254218,11547.19109345233,421.1065923760403,17365.80301511516,16255.425043847346,13166.894285516351,1200.0,10439.847902758307,1200.0
C0,2025-04-13,37192.3123686114,37192.3123686114,0.0,9635.969231010433,46828.281599621834,2716.9903539751845,7148.051571380451,20026.821685649087,16218.024775561566,1200.0,10361.796709659428,1204.111988682438
C0,2025-04-14,38653.89321820137,38653.89321820137,0.0,2838.134648536387,41492.02786673776,844.0728157611838,9140.550040169757,18510.95548395508,14997.574731817818,1200.0,10275.183416463076,1200.0
C0,2025-04-15,32645.33405228042,32645.33405228042,0.0,11406.341086728764,44051.67513900919,3175.527960952398,4794.62293460394,20819.146527238325,16835.340819511413,1199.9999999999998,10454.701051816462,1231.2976306129292
C0,2025-04-16,36740.060122563234,36740.060122563234,0.0,7512.738916284478,44252.79903884771,2096.3693813624236,4335.82037165169,18908.34737476085,15343.929241107917,1200.0,10385.83980469121,1200.0
C0,2025-04-17,33811.65791900937,33811.65791900937,0.0,12464.33722723374,46275.99514624311,4025.4282507961234,3138.902315976862,19399.242764409337,15713.386639171566,1200.0,10458.413682029242,1200.0
C0,2025-04-18,10511.891001661073,10511.891001661073,0.0,4603.863615856006,15115.754617517077,2211.1965423572988,20424.762183035567,14718.727799473614,11874.898198823488,1200.0,10381.269922285734,1252.523687500151
C0,2025-04-19,9817.323183095721,9817.323183095721,0.0,6686.38326716946,16503.70645026518,2971.850219695481,19583.507774533697,15145.534417351048,12315.154196804488,1200.0,10396.049305819126,1200.0
C0,2025-04-20,33035.24545536869,33035.24545536869,0.0,12133.360962101413,45168.60641747011,3941.9819137535274,3330.139929160228,19333.928409902263,15660.482012020828,1200.0,10415.599085807067,1200.0
C0,2025-04-21,35770.12050600787,35770.12050600787,0.0,2592.168846310394,38362.289352318265,808.127203915064,9818.255169809485,18817.240513802728,15232.775171294963,1200.0,10387.303158229435,1210.2107165391571
C0,2025-04-22,32133.38436594331,32133.38436594331,0.0,18288.340648116642,50421.72501405996,5964.493803338745,3943.8706483059814,19419.517491603132,15738.99881308378,1200.0,10396.299897289537,1200.0
C0,2025-04-23,32351.268654817137,32351.268654817137,0.0,18365.65344908076,50716.9221038979,5961.026051110863,4769.547948221525,19696.039324874615,15953.791853148432,1200.0,10205.919783969572,1200.0
C0,2025-04-24,31153.16652885385,31153.16652885385,0.0,7320.944018782354,38474.1105476362,2520.2226052086103,3907.2717332842763,20240.63616544698,16394.91529401206,1200.0,10711.51970959511,1200.0
C0,2025-04-25,9634.659432451786,9634.659432451786,0.0,2225.4173171707953,11860.076749622584,874.7592681600246,22276.09444304279,15914.370898422258,12890.640427722034,1200.0,10496.435890628743,1200.0
C0,2025-04-26,9638.195461143538,9638.195461143538,0.0,6086.9013700668165,15725.096831210354,2674.9883073688893,25880.478804593946,16662.622004237666,13491.457772106849,1200.0,10510.665871655616,1205.851168139625
C0,2025-04-27,29290.561944102126,29290.561944102126,0.0,16226.842333756127,45517.40427785825,3900.5545920425534,1374.7225280561106,18994.003308427553,15390.408731151985,1200.0,10658.896876595603,1200.0
C0,2025-04-28,39025.19302392314,39025.19302392314,0.0,4958.639293612115,43983.83231753525,1047.0231664626428,6143.616195290517,18752.258413024167,15189.32931454958,1200.0,10278.660746344302,1200.0
C0,2025-04-29,31674.474048450695,31674.474048450695,0.0,9789.391714275554,41463.86576272625,2121.1561959488668,5102.754434161798,18553.428961324462,15014.156714315239,1200.0,10280.108249264636,1215.6897159528544
C0,2025-04-30,30228.95577165312,30228.95577165312,0.0,13620.674385219023,43849.63015687214,4708.065714543835,4215.441175094132,17802.923890961763,14434.489096036603,1200.0,10558.994707128875,1200.0
C0,2025-05-01,32490.308920482068,32490.308920482068,0.0,22297.87738072582,54788.18630120788,5001.650813865149,3348.6235663443663,18367.009306032236,14877.277537886112,1200.0,10244.636128235505,1200.0
C0,2025-05-02,11271.756319019818,11271.756319019818,0.0,11616.242177218528,22887.998496238346,3736.7495471973675,14542.123424763962,16225.013895106922,13142.261255036607,1200.0,10381.850575794966,1200.0
C0,2025-05-03,10518.830797490546,10518.830797490546,0.0,11400.068549651956,21918.899347142502,3055.9333113571142,18822.410739368606,14843.323326687483,12023.091894616866,1200.0,10353.169865854088,1200.0
C0,2025-05-04,35668.80949232675,35668.80949232675,0.0,13863.458722006397,49532.26821433315,3152.0609369257545,6116.696340484106,16035.44285328012,12988.708711156894,1199.9999999999995,9250.83586719438,1200.0
C0,2025-05-05,38147.17038853864,38147.17038853864,0.0,14411.797265274412,52558.967653813044,3688.873091410955,6184.607927160394,17260.915381643103,13981.341459130912,1200.0,9220.523819230651,1200.0
C0,2025-05-06,32698.76365395032,32698.76365395032,0.0,30421.775150300116,63120.538804250435,7390.496760754121,3242.77784093956,17092.877632058677,13845.230881967527,1200.0,9396.0792490303,1200.0
C0,2025-05-07,34037.89145968967,34037.89145968967,0.0,26569.092267597203,60606.983727286875,6846.928274017434,2845.2549487106376,18774.09010412906,15200.208199787203,1199.9999999999998,10250.91077779571,1207.5608717303717
C0,2025-05-08,41334.785062235125,41334.785062235125,0.0,6791.7990790715085,48126.58414130663,1663.2660311693394,9649.49607898499,17780.22270236027,14408.785173469152,1200.0,9067.730155168849,1200.0
C0,2025-05-09,13358.279320754715,13358.279320754715,0.0,2320.3788763232637,15678.658197077979,725.584617505975,20626.35888767248,12965.039111256683,10498.554624251126,1200.0,9467.96592396032,1203.4745065186514
C0,2025-05-10,11852.51609083221,11852.51609083221,0.0,4335.607163908482,16188.123254740693,1782.1429150425918,15406.180878051517,15159.507016841924,12266.410017712533,1200.0,10549.236032369794,1217.6863575513487
C0,2025-05-11,36782.47725277909,36782.47725277909,0.0,8422.603426190391,45205.08067896948,2163.51189754096,3044.63530617468,19623.54948929666,15910.992808126506,1200.0,10287.4313980768,1200.0
C0,2025-05-12,34593.88131819005,34593.88131819005,0.0,15395.416202036482,49989.29752022653,4607.5746270110585,4145.0635927955755,15516.016466362324,12519.619153306356,1200.0,9459.977702464455,1253.72687160792
C0,2025-05-13,40187.06442139262,40187.06442139262,0.0,4950.9150566208855,45137.979478013505,1170.6603890733868,10556.631125428132,16735.040763251414,13595.44686458884,1209.211486768816,8968.908419485648,1209.211486768816
C0,2025-05-14,39978.85749993729,39978.85749993729,0.0,2133.8883121566555,42112.74581209394,769.3759830229889,9393.838922931856,16963.25487362239,13701.501830069217,1200.0,9790.376182677708,1252.2499507298364
C0,2025-05-15,37656.984064479424,37656.984064479424,0.0,5842.587544463989,43499.57160894341,2526.28671098256,4546.516405674257,17743.526701358103,14394.978089411203,1227.003882606348,9325.391791851313,1227.003882606348
C0,2025-05-16,13552.203663609465,13552.203663609465,0.0,2109.5588171065924,15661.762480716057,918.4132776877657,26204.046603569368,13003.23670370456,10556.925224346405,1200.0,9307.681405331772,1200.0
C0,2025-05-17,13601.121957534759,13601.121957534759,0.0,3950.009257324984,17551.131214859743,1191.1283581007647,19221.03981288613,12880.330471604679,10433.067681999792,1200.0,9357.200272071052,1200.0
C0,2025-05-18,39616.85158379693,39616.85158379693,0.0,997.5680400776366,40614.419623874564,405.4053624728234,8750.12215835444,18457.930029304,14861.2471494403,1200.0,10437.586260195922,1299.6401936621603
C0,2025-05-19,36607.222283665,36607.222283665,0.0,1469.0810470990423,38076.30333076404,414.11884445377746,9437.939376321989,17949.74818578372,14628.972204780763,1200.0,9329.488386596462,1200.0
C0,2025-05-20,34785.1666615117,34785.1666615117,0.0,16268.671801026867,51053.838462538566,4844.949169957401,3705.80104402924,17117.9820954675,13865.565497328667,1200.0,9621.623062514482,1200.0
C0,2025-05-21,35235.569950345925,35235.569950345925,0.0,12276.07181224518,47511.641762591105,3649.874053356166,4188.883949740334,15590.690082471057,12611.908226449586,1200.0,9078.400578713885,1218.389711502186
C0,2025-05-22,35927.56200891891,35927.56200891891,0.0,10327.975492044177,46255.53750096309,3156.97311127206,6493.957065692077,16205.425577393531,13104.014433512202,1200.0,9324.624490669854,1243.256693920582
C0,2025-05-23,11074.130412724166,11074.130412724166,0.0,3914.8949490816035,14989.025361805769,1345.3016843807684,19914.137516295345,14864.662034935609,12036.38015028765,1200.0,10494.402287324509,1247.6968028207996
C0,2025-05-24,11967.486504222337,11967.486504222337,0.0,1887.1497393640282,13854.636243586365,996.5626798805309,22809.747882522686,13167.562800550528,10667.313635712444,1200.0,10439.255902976982,1245.9326169691149
C0,2025-05-25,36632.2685947835,36632.2685947835,0.0,6710.967643496498,43343.23623827999,1433.436403759374,9889.468460827527,16916.081167255947,13719.292115933991,1200.0,8704.478464281752,1226.747760906141
C0,2025-05-26,36708.226004870616,36708.226004870616,0.0,15099.227230263294,51807.45323513391,4602.677170621443,6809.1710941797155,17333.450546674867,13985.731810371086,1200.0,9528.32578758699,1287.151241390093
C0,2025-05-27,32978.20615950065,32978.20615950065,0.0,9527.145345387436,42505.35150488809,3085.10842230918,3108.7628549631872,18916.312180798446,15352.683147222924,1200.0,10206.82180875631,1253.2953738610051
C0,2025-05-28,36580.65117310815,36580.65117310815,0.0,2079.227027633475,38659.87820074163,444.44465783774604,4722.0807103325715,18433.68748638396,14885.90127744294,1253.2953738610051,9838.60040412416,1303.7238033366375
C0,2025-05-29,36023.43553216256,36023.43553216256,0.0,12398.522121305596,48421.95765346816,3327.627811968086,4975.154643561756,17671.876797741104,14407.571629173266,1199.9999999999998,9653.142774967517,1200.0
C0,2025-05-30,11732.654970130272,11732.654970130272,0.0,1408.543501772884,13141.198471903157,514.2767372375965,19020.059486565755,15645.888903271181,12638.115018590572,1200.0,10403.025345596225,1238.9499922878751
C0,2025-05-31,13434.345442742735,13434.345442742735,0.0,1354.7324279386164,14789.07787068135,587.8568876216995,21707.909987858064,17196.783637206325,13964.44973919621,1200.0,9522.277334751525,1200.0
C0,2025-06-01,51136.02428666051,51136.02428666051,0.0,24762.33353965574,75898.35782631625,5840.864077200898,6163.548840143707,16726.78207583249,13548.693481424318,1200.0,9106.43245330998,1200.0
C0,2025-06-02,52054.70100067424,52054.70100067424,0.0,25147.102403001623,77201.80340367586,5732.237795729397,10791.626231049819,16745.35517102506,13563.737688530302,1200.0,8618.173338960407,1200.0
C0,2025-06-03,47551.319903310694,47551.319903310694,0.0,28361.26071513557,75912.58061844626,6126.164485295324,5304.734423696214,16055.130263400952,13004.65551335477,1199.9999999999995,8406.671782932637,1200.0
C0,2025-06-04,55781.70705503278,55781.70705503278,0.0,22150.913439273107,77932.62049430588,5259.212193696067,14396.942990494916,16196.534805113708,13119.193192142102,1200.0,8753.380267517095,1200.0
C0,2025-06-05,46056.83678608328,46056.83678608328,0.0,39034.82021724559,85091.65700332887,8976.9755125194,2307.289956367142,18821.144640171526,15245.127158538937,1199.9999999999995,9520.938468976436,1200.0
C0,2025-06-06,17139.06647424565,17139.06647424565,0.0,20871.26171657944,38010.32819082509,6160.195487088112,6809.082870118712,12123.580495107855,9820.100201037363,1200.0,9028.417109936574,1200.0
C0,2025-06-07,16931.60631411098,16931.60631411098,0.0,18504.72510739372,35436.3314215047,5022.404980960241,8006.500892200181,12825.415155471022,10388.586275931522,1200.0,9447.77931975192,1200.0
C0,2025-06-08,52555.15370532723,52555.15370532723,0.0,10321.023902047244,62876.17760737448,2860.5753369417334,12157.81409983087,15696.924727028616,12578.488811553883,1200.0,9265.759561721545,1351.1335748214435
C0,2025-06-09,62524.928757701935,62524.928757701935,0.0,1490.5019338239256,64015.43069152586,447.5294822432047,14359.661200971781,17978.21199617985,14698.371934244977,1200.0,9587.910216461883,1200.0
C0,2025-06-10,58524.021778976385,58524.021778976385,0.0,4841.120094438143,63365.141873414526,1168.4395505821815,10615.299979648182,19168.931576811738,15518.042775002414,1200.0,9413.03670762695,1209.7686691278811
C0,2025-06-11,61921.0435077023,61921.0435077023,0.0,10930.207824475146,72851.25133217745,2403.882958764089,10147.618000881335,18923.245093363865,15300.287887724095,1200.0,8817.639266602804,1240.369377906365
C0,2025-06-12,57926.31829763954,57926.31829763954,0.0,5206.941318966585,63133.25961660613,1311.6212853020127,7599.054943711977,19818.409514218256,16011.759593384371,1200.0,8703.773670930126,1286.093948053497
C0,2025-06-13,21181.346929851687,21181.346929851687,0.0,861.9688703929601,22043.315800244643,536.018313963969,9828.958043479186,13050.556083791427,10392.620283365926,1286.093948053497,9648.681595177191,1484.2385530591932
C0,2025-06-14,20909.236696157055,20909.236696157055,0.0,541.0213774557167,21450.25807361277,201.80487546956923,11400.602216741752,14688.180435550943,12096.973005125537,1200.0,9475.29873754814,1262.5198282488868
C0,2025-06-15,51334.391132323304,51334.391132323304,0.0,14973.02926838931,66307.42040071261,3810.602104187606,4092.4274154144337,20575.189887602486,16408.57414123501,1200.0,10358.793773757334,1548.4416812744496
C0,2025-06-16,57598.37905944828,57598.37905944828,0.0,8534.996420557656,66133.37548000593,1950.1624363381607,7624.900406649543,19163.04558199576,15826.530542676155,1200.0,9109.478611727567,1210.148768763793
C0,2025-06-17,55940.67322655771,55940.67322655771,0.0,10614.983995275563,66555.65722183327,3179.2877900296703,4738.706795205828,22062.132941312073,17874.19552302453,1200.0,8924.149962416313,1205.851168139625
C0,2025-06-18,59118.18131077974,59118.18131077974,0.0,3444.383295226975,62562.564606006716,848.7551759109499,10825.8269009749,17887.668191430825,14480.290890367465,1200.0,8934.254651495648,1215.5404400190712
C0,2025-06-19,52284.8655496915,52284.8655496915,0.0,9771.718461562277,62056.58401125378,2472.626942289471,6989.9763527467185,16412.163656407072,13307.838957706892,1200.0,8522.238524907196,1200.0
