slot,source_time_label,interval_start,interval_end,price_yuan_per_kwh,load_kw,load_kwh,pv_forecast_kw,pv_forecast_kwh
44,07:20:00,07:20,07:30,0.7972,4545.8867,757.6477833333333,2085.4865,347.5810833333333
45,07:30:00,07:30,07:40,0.7644,4523.2418,753.8736333333333,2381.2611,396.87685000000005
46,07:40:00,07:40,07:50,0.6899,4383.3566,730.5594333333333,2683.1752,447.1958666666667
47,07:50:00,07:50,08:00,0.86,4910.4599,818.4099833333333,2986.3552,497.72586666666666
48,08:00:00,08:00,08:10,1.1617,5799.7327,966.6221166666666,3289.204,548.2006666666667
49,08:10:00,08:10,08:20,1.1683,5884.826,980.8043333333334,3593.3613,598.89355
50,08:20:00,08:20,08:30,1.0956,5748.0713,958.0118833333332,3890.7332,648.4555333333334
51,08:30:00,08:30,08:40,1.0849,5769.0581,961.5096833333333,4181.3417,696.8902833333333
52,08:40:00,08:40,08:50,1.061,5754.2105,959.0350833333333,4471.7657,745.2942833333333
53,08:50:00,08:50,09:00,1.043,5824.1807,970.6967833333333,4752.8272,792.1378666666666
54,09:00:00,09:00,09:10,1.036,5954.2601,992.3766833333334,5021.9074,836.9845666666666
55,09:10:00,09:10,09:20,1.0147,5958.9696,993.1616,5285.4126,880.9020999999999
56,09:20:00,09:20,09:30,0.9922,5929.5554,988.2592333333333,5543.1742,923.8623666666667
57,09:30:00,09:30,09:40,0.97,5923.7828,987.2971333333334,5788.4093,964.7348833333334
58,09:40:00,09:40,09:50,0.9422,5907.586,984.5976666666667,6012.1304,1002.0217333333334
59,09:50:00,09:50,10:00,0.9569,5899.1262,983.1877,6216.1528,1036.0254666666667
60,10:00:00,10:00,10:10,0.9977,5902.2196,983.7032666666668,6409.5941,1068.2656833333333
61,10:10,10:10,10:20,0.9919,5897.4793,982.9132166666667,6599.3808,1099.8968
62,10:20,10:20,10:30,0.9588,5886.7568,981.1261333333333,6766.7204,1127.7867333333334
63,10:30,10:30,10:40,0.9549,5873.4708,978.9118,6914.5923,1152.4320500000001
64,10:40,10:40,10:50,0.9839,5858.0308,976.3384666666667,7064.2053,1177.36755
65,10:50,10:50,11:00,0.799,5844.9948,974.1658000000001,7197.4315,1199.5719166666665
66,11:00,11:00,11:10,0.5025,5839.0587,973.1764499999999,7303.1142,1217.1857
67,11:10,11:10,11:20,0.4662,5838.7103,973.1183833333333,7387.6848,1231.2808
68,11:20,11:20,11:30,0.5007,5823.4378,970.5729666666666,7459.227,1243.2045
69,11:30,11:30,11:40,0.4827,5814.7932,969.1322,7520.7191,1253.4531833333333
70,11:40,11:40,11:50,0.4785,5832.3951,972.06585,7568.2039,1261.3673166666667
71,11:50,11:50,12:00,0.4662,5712.901,952.1501666666667,7592.1539,1265.3589833333333
72,12:00,12:00,12:10,0.4432,5519.4607,919.9101166666666,7601.0433,1266.8405500000001
73,12:10,12:10,12:20,0.4411,5494.7907,915.7984499999999,7612.316,1268.7193333333332
74,12:20,12:20,12:30,0.4551,5514.4524,919.0754000000001,7602.6524,1267.1087333333332
75,12:30,12:30,12:40,0.4463,5485.829,914.3048333333332,7554.1872,1259.0312000000001
76,12:40,12:40,12:50,0.4113,5462.3628,910.3937999999999,7472.7384,1245.4564
77,12:50,12:50,13:00,0.5682,5566.1066,927.6844333333333,7393.4172,1232.2362
78,13:00,13:00,13:10,0.8279,5725.7548,954.2924666666667,7312.7979,1218.79965
79,13:10,13:10,13:20,0.8636,5739.4957,956.5826166666667,7194.541,1199.0901666666666
80,13:20,13:20,13:30,0.8416,5714.6836,952.4472666666667,7053.1371,1175.52285
81,13:30,13:30,13:40,0.8618,5717.8505,952.9750833333333,6910.4064,1151.7344
82,13:40,13:40,13:50,0.8623,5708.2486,951.3747666666667,6772.4075,1128.7345833333334
83,13:50,13:50,14:00,0.9026,5696.9182,949.4863666666666,6607.36,1101.2266666666667
84,14:00,14:00,14:10,0.9754,5692.2983,948.7163833333334,6412.5085,1068.7514166666667
85,14:10,14:10,14:20,1.0002,5687.1291,947.85485,6214.0158,1035.6693
86,14:20,14:20,14:30,0.9978,5678.962,946.4936666666667,6000.7112,1000.1185333333333
87,14:30,14:30,14:40,1.0271,5669.4508,944.9084666666666,5766.9816,961.1636
88,14:40,14:40,14:50,1.0906,5664.1948,944.0324666666667,5521.5066,920.2511
89,14:50,14:50,15:00,0.9376,5672.7011,945.4501833333334,5268.781,878.1301666666667
90,15:00,15:00,15:10,0.6694,5682.2544,947.0423999999999,5009.7152,834.9525333333332
91,15:10,15:10,15:20,0.66,5669.0195,944.8365833333334,4743.4484,790.5747333333334
92,15:20,15:20,15:30,0.7217,5656.3651,942.7275166666667,4471.224,745.2040000000001
93,15:30,15:30,15:40,0.7308,5657.0867,942.8477833333333,4188.2025,698.03375
94,15:40,15:40,15:50,0.7534,5662.6008,943.7668,3889.3931,648.2321833333333
95,15:50,15:50,16:00,0.7823,5669.2596,944.8766,3594.5946,599.0991
96,16:00,16:00,16:10,0.8055,5673.4767,945.5794500000001,3303.8878,550.6479666666667
97,16:10,16:10,16:20,0.8271,5671.0146,945.1691000000001,2998.4247,499.73745
98,16:20,16:20,16:30,0.8519,5661.5926,943.5987666666666,2687.4131,447.90218333333337
99,16:30,16:30,16:40,0.8791,5665.8922,944.3153666666667,2383.1779,397.1963166666667
100,16:40,16:40,16:50,0.9024,5689.0372,948.1728666666667,2089.1246,348.18743333333333
101,16:50,16:50,17:00,0.9163,5603.6614,933.9435666666667,1791.0829,298.5138166666667
102,17:00,17:00,17:10,0.9264,5466.7124,911.1187333333334,1501.7283,250.28805
103,17:10,17:10,17:20,0.9462,5467.3939,911.2323166666666,1255.1723,209.19538333333333
104,17:20,17:20,17:30,0.9742,5464.727,910.7878333333333,1036.3323,172.72205
105,17:30,17:30,17:40,0.9862,5492.4458,915.4076333333334,836.7775,139.46291666666667
106,17:40,17:40,17:50,0.976,5621.7308,936.9551333333334,665.2313,110.87188333333334
107,17:50,17:50,18:00,1.0742,5091.2126,848.5354333333333,516.6758,86.11263333333333
108,18:00,18:00,18:10,1.2313,4208.5688,701.4281333333333,386.6731,64.44551666666666
109,18:10,18:10,18:20,1.2561,4122.7611,687.12685,275.7933,45.96555
110,18:20,18:20,18:30,1.2447,4255.9358,709.3226333333333,182.9526,30.492099999999997
111,18:30,18:30,18:40,1.2545,4225.9524,704.3254000000001,108.3414,18.0569
112,18:40,18:40,18:50,1.2522,4233.3384,705.5563999999999,54.3121,9.052016666666667
113,18:50,18:50,19:00,1.2881,4246.4625,707.74375,18.6569,3.1094833333333334
114,19:00,19:00,19:10,1.3466,4239.1795,706.5299166666667,0.2753,0.04588333333333333
115,19:10,19:10,19:20,1.3523,4244.6684,707.4447333333333,0.2296,0.038266666666666664
116,19:20,19:20,19:30,1.3445,4251.9187,708.6531166666667,0.6007,0.10011666666666667
117,19:30,19:30,19:40,1.3483,4256.6813,709.4468833333334,0.0,0.0
118,19:40,19:40,19:50,1.349,4267.3947,711.23245,0.0,0.0
119,19:50,19:50,20:00,1.3473,4269.975,711.6625,0.0,0.0
120,20:00,20:00,20:10,1.3482,4268.6702,711.4450333333333,0.0,0.0
121,20:10,20:10,20:20,1.3513,4282.2245,713.7040833333334,0.0,0.0
122,20:20,20:20,20:30,1.34,4291.7049,715.28415,0.0,0.0
123,20:30,20:30,20:40,1.3489,4291.3611,715.22685,0.0,0.0
124,20:40,20:40,20:50,1.3952,4293.9182,715.6530333333334,0.0,0.0
125,20:50,20:50,21:00,1.2226,4295.2135,715.8689166666667,0.0,0.0
126,21:00,21:00,21:10,0.9332,4302.0307,717.0051166666667,0.0,0.0
127,21:10,21:10,21:20,0.9068,4320.9618,720.1603,0.0,0.0
128,21:20,21:20,21:30,0.9371,4302.3292,717.0548666666667,0.0,0.0
129,21:30,21:30,21:40,0.9371,4322.6758,720.4459666666667,0.0,0.0
130,21:40,21:40,21:50,0.9871,4428.8083,738.1347166666666,0.0,0.0
131,21:50,21:50,22:00,0.7764,4030.1614,671.6935666666667,0.0,0.0
132,22:00,22:00,22:10,0.4209,3362.7419,560.4569833333334,0.0,0.0
133,22:10,22:10,22:20,0.3859,3309.3934,551.5655666666667,0.0,0.0
134,22:20,22:20,22:30,0.4368,3412.9563,568.82605,0.0,0.0
135,22:30,22:30,22:40,0.4198,3381.9313,563.6552166666667,0.0,0.0
136,22:40,22:40,22:50,0.4186,3386.5592,564.4265333333334,0.0,0.0
137,22:50,22:50,23:00,0.4241,3400.4846,566.7474333333333,0.0,0.0
138,23:00,23:00,23:10,0.4237,3399.2426,566.5404333333333,0.0,0.0
139,23:10,23:10,23:20,0.4248,3406.9809,567.83015,0.0,0.0
140,23:20,23:20,23:30,0.424,3416.1518,569.3586333333334,0.0,0.0
141,23:30,23:30,23:40,0.422,3421.9811,570.3301833333334,0.0,0.0
142,23:40,23:40,23:50,0.424,3429.6923,571.6153833333334,0.0,0.0
143,23:50,23:50,00:00,0.4271,3439.061,573.1768333333333,0.0,0.0
144,0:00+1,00:00,00:10,0.4276,3444.7259,574.1209833333334,0.0,0.0
